slayer	orbiter	scion	summoner
8571	8642	8618	
8573	8652	8620	8577
8574	8653	8621	
8575	8654	8622	
8588	8660	8628	
8583	8655	8623	
8585	8657	8625	8578
8586	8658	8626	
8587	8659	8627	
8594	8666	8634	
8589	8661	8629	
8591	8663	8631	8579
8592	8664	8632	
8593	8665	8633	
8600	8672	8640	
8595	8667	8635	
8597	8669	8637	8580
8598	8670	8638	
8599	8671	8639	
8606	8648	8646	
8601	8673	8641	
8603	8675	8643	8581
8604	8676	8644	
8605	8677	8645	
8612	8684	6666	
8607	8679	8647	
8609	8681	8649	8582
8610	8682	8650	
8611	8683	8651	
9545		9553	9561
9546		9554	9562
9547		9555	9563
9548		9556	9564
9549		9557	9565
9550		9558	9566
9551		9559	9567
9552		9560	9568
	9739	9747	
	9740	9748	
	9741	9749	
	9742	9750	
	9743	9751	
	9744	9752	
	9745	9753	
	9746	9754	
9569	9607	9645	
9570	9608	9646	9683
9571	9609	9647	
9572	9610	9648	
9573	9611	9649	
9574	9612	9650	9684
9575	9613	9651	
9576	9614	9652	
9577	9615	9653	
9578	9616	9654	
9579	9617	9655	9685
9580	9618	9656	
9581	9619	9657	
9582	9620	9658	
9583	9621	9659	
9584	9622	9660	9686
9585	9623	9661	
9586	9624	9662	
9587	9625	9663	
9588	9626	9664	
9589	9627	9665	9687
9590	9628	9666	
9591	9629	9667	
9592	9630	9668	
9593	9631	9669	
9594	9632	9670	9688
9595	9633	9671	
9596	9634	9672	
9597	9635	9673	
9598	9636	9674	
9599	9637	9675	9689
9600	9638	9676	
9601	9639	9677	
9602	9640	9678	
9603	9641	9679	
9604	9642	9680	9690
9605	9643	9681	
9606	9644	9682	
9691		9694	9697
9692		9695	9698
9693		9696	9699
	9700	9703	
	9701	9704	
	9702	9705	
9706		9712	9715
9707		9713	9716
9708		9714	9717
	9718	9721	
	9719	9722	
	9720	9723	
9724		9727	9730
9725		9728	9731
9726		9729	9732
	9733	9736	
	9734	9737	
	9735	9738	
8488	8398	8443	
8119	8399	8444	
8490	8400	8445	
8491	8401	8446	
8492	8402	8447	
8504	8413	8458	
8505	8414	8459	
8507	8415	8460	
8508	8416	8461	
8509	8417	8462	
8493	8403	8448	
8494	8404	8449	
8496	8405	8450	
8497	8406	8451	
8498	8407	8452	
8499	8408	8453	
8174	8409	8454	
8501	8410	8455	
8502	8411	8456	
8503	8412	8457	
7822	8418	8463	
8114	8419	8464	
8124	8420	8465	
8129	8421	8466	
8134	8422	8467	
8515	8423	8468	
8516	8424	8469	
8518	8425	8470	
8519	8426	8471	
8520	8427	8472	
8521	8428	8473	
8180	8429	8474	
8524	8430	8475	
8525	8431	8476	
8526	8432	8477	
8527	8433	8478	
8186	8434	8479	
8530	8435	8480	
8531	8436	8481	
8532	8437	8482	
8139	8438	8483	
8144	8439	8484	
8154	8440	8485	
8162	8441	8486	
8168	8442	8487	
8594	8666	8685	
8589	8661	8686	
8591	8663	8687	8579
8592	8664	8688	
8593	8665	8689	
8600	8672	8690	
8595	8667	8691	
8597	8669	8692	8580
8598	8670	8693	
8599	8671	8694	
8594	8666	8695	
8589	8661	8696	
8591	8663	8697	8579
8592	8664	8698	
8593	8665	8699	
8600	8672	8700	
8595	8667	8701	
8597	8669	8702	8580
8598	8670	8703	
8599	8671	8704	
8510	8222	8149	
8216	8228	8192	
8512	8234	8198	
8513	8240	8204	
8514	8246	8210	
7827		20001	8286
	6691	20002	
8500	8489	8495	
8708	8716	8706	
8715	8721	8711	
8713	8719	8709	
8712	8717	8707	
8714	8720	8710	
8808	8798	8803	
8812	8802	8807	
8810	8800	8805	
8809	8799	8804	
8811	8801	8806	
7822	8418	8463	
8134	8422	8467	
8124	8420	8465	
8114	8419	8464	
8129	8421	8466	
8916	8905	8910	
8920	8909	8915	
8918	8907	8913	
8917	8906	8911	
8919	8908	8914	
8960	8950	8955	
8964	8954	8959	
8962	8952	8957	
8961	8951	8956	
8963	8953	8958	
8876	8866	8871	
8880	8870	8875	
8878	8868	8873	
8877	8867	8872	
8879	8869	8874	
9233	9239	9228	
9229	9234	9223	
9230	9236	9225	
9231	9237	9226	
9232	9238	9227	
9258	9269	9252	
9254	9264	9242	
9255	9266	9244	
9256	9267	9245	
9257	9268	9246	
9263	9275	9253	
9298	9287	9293	
9259	9270	9247	
9294	9282	9288	
9260	9272	9249	
9295	9284	9290	
9261	9273	9250	
9296	9285	9291	
9262	9274	9251	
9297	9286	9292	
8992	9187	8997	
9196	9206	9201	
8912	8998	8993	
9192	9202	9197	
8989	8999	8994	
9193	9203	9198	
8990	9032	8995	
9194	9204	9199	
8991	9186	8996	
9195	9205	9200	
9323	9304	9312	
9340	9332	9331	
9319	9299	9307	
9336	9327	9326	
9320	9301	9309	
9337	9333	9328	
9321	9302	9310	
9338	9334	9329	
9322	9303	9311	
9339	9335	9330	
9414	9400	9409	
9410	9401	9405	
9411	9402	9406	
9412	9403	9407	
9413	9404	9408	
9461	9456	9451	
9462	9457	9452	
9463	9458	9453	
9464	9459	9454	
9465	9460	9455	
9927	9917	9922	
9923	9913	9918	
9924	9914	9919	
9925	9915	9920	
9926	9916	9921	
9431		9428	
	9432	9429	
9446		9447	
	9450	9448	
	9342	9308	
	9300	9998	
9318		9315	
9997		9996	
9938	9928	9933	
9939	9929	9934	
9940	9930	9935	
9941	9931	9936	
9942	9932	9937	
9240		9241	
9276		9279	
9277		9280	
9278		9281	
9214		9213	
9217		9216	
9191		9189	
9210		9209	
9316		9313	
9317		9314	
9318		9315	
9997		9996	
	9235	9224	
	9265	9243	
	9271	9248	
	9283	9289	
	9221	9219	
	9222	9220	
	9190	9188	
	9208	9207	
	9305	9324	
	9306	9325	
	9300	9308	
	9342	9998	
10265	10263	10273	
10269	10264	10274	
10270	10266	10276	
10271	10267	10277	
10272	10268	10278	
10449	10447	10457	
10453	10448	10458	
10454	10450	10460	
10455	10451	10461	
10456	10452	10462	
10520	10515	10525	
10521	10516	10526	
10522	10517	10527	
10523	10518	10528	
10524	10519	10529	
10588	10583	10593	
10589	10584	10594	
10590	10585	10595	
10591	10586	10596	
10592	10587	10597	
10653	10651	10661	
10657	10652	10662	
10658	10654	10664	
10659	10655	10665	
10660	10656	10666	
10717	10711	10725	
10721	10716	10726	
10722	10718	10728	
10723	10719	10729	
10724	10720	10730	
10788	10783	10793	
10789	10784	10794	
10790	10785	10795	
10791	10786	10796	
10792	10787	10797	
10853	10851	10861	
10860	10852	10862	
10857	10854	10864	
10858	10855	10865	
10859	10856	10866	
10921	10919	10929	
10928	10920	10930	
10925	10922	10932	
10926	10923	10933	
10927	10924	10934	
12059	12039	12049	
12063	12043	12053	
12060	12040	12050	
12061	12041	12051	
12062	12042	12052	
12064	12044	12054	
12068	12048	12058	
12065	12045	12055	
12066	12046	12056	
12067	12047	12057	
11939	11919	11929	
11940	11920	11930	
11941	11921	11931	
11942	11922	11932	
11943	11923	11933	
11944	11924	11934	
11945	11925	11935	
11946	11926	11936	
11947	11927	11937	
11948	11928	11938	
12059	12039	12049	
12063	12043	12053	
12060	12040	12050	
12061	12041	12051	
12062	12042	12052	
13303	13291	13297	
13302	13290	13296	
13304	13292	13298	
13306	13294	13300	
13305	13293	13299	
13307	13295	13301	
12363	12362	12331	
12365	12364	12341	
12367	12366	12351	
12369	12368	12361	
12477	12487	12467	
12478	12488	12468	
12479	12489	12469	
12480	12490	12470	
12481	12491	12471	
12482	12492	12472	
12483	12493	12473	
12484	12494	12474	
12485	12495	12475	
12486	12496	12476	
12677		12676	12678
12680		12679	12681
	12797	12682	
	12798	12683	
14020	14000	14010	
14021	14001	14011	
14022	14002	14012	
14023	14003	14013	
14024	14004	14014	
14025	14005	14015	
14026	14006	14016	
14027	14007	14017	
14028	14008	14018	
14029	14009	14019	
12944	12924	12934	
12945	12925	12935	
12946	12926	12936	
12947	12927	12937	
12948	12928	12938	
12949	12929	12939	
12950	12930	12940	
12951	12931	12941	
12952	12932	12942	
12953	12933	12943	
13318	12991	13308	
13319	12992	13309	
13320	12993	13310	
13321	12994	13311	
13322	12995	13312	
13323	12996	13313	
13324	12997	13314	
13325	12998	13315	
13326	12999	13316	
13327	13000	13317	
20331		20327	20332
20333		20328	20334
	20335	20329	
	20336	20330	
20498		20472	20499
20500		20473	
	20501	20474	
	20502	20475	
