TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType	StaminaPoint	PetType	StartStamina	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
1361 	라쿤델	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1362 	두기	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1365 	루	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1386 	래티맨	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
195 	람다	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1392 	밀피	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1398 	블룸	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1391 	아브라햐	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1396 	테풀	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1395 	펙키	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1507 	루돌프	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1800 	루돌프사슴	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1970 	멀쿤_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1971 	람다_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1972 	아브라햐_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
2016 	용펫_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1640 	멍구	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1641 	옹이	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1580 	설이벤트쥐_A	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1581 	설이벤트쥐_B	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1582 	설이벤트쥐_C	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1583 	설이벤트쥐_D	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1584 	설이벤트쥐_E	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
132 	멤브레덴 수비대장	196625 	1 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
133 	멤브레덴 수비병사	196625 	1 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
130 	트릴가드 수비대장	196625 	2 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
131 	트릴가드 수비병사	196625 	2 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
896 	문엘프 수비병사	196625 	3 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
1824 	드래곤시온 가드	196625 	4 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
98 	GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
97 	흰색GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
99 	검은색GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
134 	오크GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
462 	문엘프GM_법사	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
463 	문엘프GM_궁수	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
886 	문엘프GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
887 	문엘프GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
2014 	GM Robin	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
2015 	GM Den	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
2017 	GM Andy	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
567 	백마	196672 	1 			35 															9000 																																																																														1 		1 	1 								
568 	경갑 백마	196672 	1 			50 															10500 																																																																														1 		1 	1 								
569 	중갑 백마	196672 	1 			61 															12000 																																																																														1 		1 	1 								
436 	휴먼_고렙탈것_백마	196672 	1 			72 															13500 																																																																														1 		1 	1 								
570 	흑마	196672 	1 			36 															9000 																																																																														1 		1 	1 								
571 	경갑 흑마	196672 	1 			51 															10500 																																																																														1 		1 	1 								
572 	중갑 흑마	196672 	1 			62 															12000 																																																																														1 		1 	1 								
437 	휴먼_고렙탈것_흑마	196672 	1 			73 															13500 																																																																														1 		1 	1 								
573 	흑사막소	196672 	2 			35 															9000 																																																																														1 		1 	1 								
574 	경갑 흑사막소	196672 	2 			50 															10500 																																																																														1 		1 	1 								
575 	중갑 흑사막소	196672 	2 			61 															12000 																																																																														1 		1 	1 								
438 	오크_고렙탈것_백	196672 	2 			72 															13500 																																																																														1 		1 	1 								
602 	회사막소	196672 	2 			36 															9000 																																																																														1 		1 	1 								
604 	경갑 회사막소	196672 	2 			51 															10500 																																																																														1 		1 	1 								
605 	중갑 회사막소	196672 	2 			62 															12000 																																																																														1 		1 	1 								
439 	오크_고렙탈것_흑	196672 	2 			73 															13500 																																																																														1 		1 	1 								
606 	알비레온	196672 	3 			35 															9000 																																																																														1 		1 	1 								
607 	경갑 알비레온	196672 	3 			50 															10500 																																																																														1 		1 	1 								
608 	중갑 알비레온	196672 	3 			61 															12000 																																																																														1 		1 	1 								
