name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
	7										40																																						674																																																																														-20																																																										
	8										45																																						674																																																																														-23																																																										
	9										50																																						674																																																																														-26																																																										
	10										55																																						674																																																																														-26																																																										
	11										60																																						674																																																																														-26																																																										
	12										65																																						674																																																																														-26																																																										
	13										70																																						674																																																																														-26																																																										
	14										75																																						674																																																																														-26																																																										
	15										80																																						674																																																																														-26																																																										
익스플로젼 이미지	1										15			8																																																																																		-2	-2																																																																																								
	2										20			10																																																																																		-5	-5																																																																																								
	3										25			13																																																																																		-8	-8																																																																																								
	4										30			15																																																																																		-11	-11																																																																																								
	5										35			18																																																																																		-14	-14																																																																																								
	6										40			20																																																																																		-17	-17																																																																																								
	7										45			23																																																																																		-20	-20																																																																																								
	8										50			25																																																																																		-23	-23																																																																																								
	9										55			28																																																																																		-26	-26																																																																																								
	10										60			30																																																																																		-26	-26																																																																																								
	11										65			33																																																																																		-26	-26																																																																																								
	12										70			35																																																																																		-26	-26																																																																																								
	13										75			38																																																																																		-26	-26																																																																																								
	14										80			40																																																																																		-26	-26																																																																																								
	15										85			43																																																																																		-26	-26																																																																																								
워터 드림	1										20		10																																				676																																																	-3									-3																																																																														
	2										25		13																																				676																																																	-5									-5																																																																														
	3										30		15																																				676																																																	-7									-7																																																																														
	4										35		18																																				676																																																	-9									-9																																																																														
	5										40		20																																				676																																																	-11									-11																																																																														
	6										45		23																																				676																																																	-13									-13																																																																														
	7										50		25																																				676																																																	-15									-15																																																																														
	8										55		28																																				676																																																	-17									-17																																																																														
	9										60		30																																				676																																																	-19									-19																																																																														
	10										65		33																																				676																																																	-21									-21																																																																														
	11										70		35																																				676																																																	-23									-23																																																																														
	12										75		38																																				676																																																	-25									-25																																																																														
	13										80		40																																				676																																																	-27									-27																																																																														
	14										85		43																																				676																																																	-29									-29																																																																														
	15										90		45																																				676																																																	-31									-31																																																																														
운딩 크리티컬	1										25				13														13																																																																																																																																																												
	2										30				15														15																																																																																																																																																												
	3										35				18														18																																																																																																																																																												
	4										40				20														20																																																																																																																																																												
	5										45				23														23																																																																																																																																																												
	6										50				25														25																																																																																																																																																												
	7										55				28														28																																																																																																																																																												
	8										60				30														30																																																																																																																																																												
	9										65				33														33																																																																																																																																																												
	10										70				35														35																																																																																																																																																												
	11										75				38														38																																																																																																																																																												
	12										80				40														40																																																																																																																																																												
	13										85				43														43																																																																																																																																																												
	14										90				45														45																																																																																																																																																												
	15										95				48														48																																																																																																																																																												
버라지 스트라이크	1										30																																						679																																																																																																																																								
	2										35																																						679																																																																																																																																								
	3										40																																						679																																																																																																																																								
	4										45																																						679																																																																																																																																								
	5										50																																						679																																																																																																																																								
	6										55																																						679																																																																																																																																								
	7										60																																						679																																																																																																																																								
	8										65																																						679																																																																																																																																								
	9										70																																						679																																																																																																																																								
	10										75																																						679																																																																																																																																								
	11										80																																						679																																																																																																																																								
	12										85																																						679																																																																																																																																								
	13										90																																						679																																																																																																																																								
	14										95																																						679																																																																																																																																								
	15										100																																						679																																																																																																																																								
인비저블 블레이드 엑스	1										40																																						679																												-3		-3																																																																																																										
	2										45																																						679																												-5		-5																																																																																																										
	3										50																																						679																												-7		-7																																																																																																										
	4										55																																						679																												-9		-9																																																																																																										
	5										60																																						679																												-11		-11																																																																																																										
	6										65																																						679																												-13		-13																																																																																																										
	7										70																																						679																												-15		-15																																																																																																										
	8										75																																						679																												-17		-17																																																																																																										
	9										80																																						679																												-19		-19																																																																																																										
	10										85																																						679																												-19		-19																																																																																																										
	11										90																																						679																												-19		-19																																																																																																										
	12										95																																						679																												-19		-19																																																																																																										
	13										100																																						679																												-19		-19																																																																																																										
	14										105																																						679																												-19		-19																																																																																																										
	15										110																																						679																												-19		-19																																																																																																										
라이트닝 러쉬	1									10	60								30																								3000	30					742																																																																																																																																								
	2									15	65								33																								3000	35					742																																																																																																																																								
	3									20	70								35																								3000	40					742																																																																																																																																								
	4									25	75								38																								3000	45					742																																																																																																																																								
	5									30	80								40																								3000	50					742																																																																																																																																								
	6									35	85								43																								3000	55					742																																																																																																																																								
	7									40	90								45																								3000	60					742																																																																																																																																								
	8									45	95								48																								3000	65					742																																																																																																																																								
	9									50	100								50																								3000	70					742																																																																																																																																								
	10									55	105								53																								3000	75					742																																																																																																																																								
	11									60	110								55																								3000	80					742																																																																																																																																								
	12									65	115								58																								3000	85					742																																																																																																																																								
	13									70	120								60																								3000	90					742																																																																																																																																								
	14									75	125								63																								3000	95					742																																																																																																																																								
	15									80	130								65																								3000	100					742																																																																																																																																								
피어스 블로우	1										50																																						740																													-2			-2																																																																																																								
	2										55																																						740																													-3			-3																																																																																																								
	3										60																																						740																													-4			-4																																																																																																								
	4										65																																						740																													-5			-5																																																																																																								
	5										70																																						740																													-6			-6																																																																																																								
	6										75																																						740																													-7			-7																																																																																																								
	7										80																																						740																													-8			-8																																																																																																								
	8										85																																						740																													-9			-9																																																																																																								
	9										90																																						740																													-10			-10																																																																																																								
	10										95																																						740																													-10			-10																																																																																																								
	11										100																																						740																													-10			-10																																																																																																								
	12										105																																						740																													-10			-10																																																																																																								
	13										110																																						740																													-10			-10																																																																																																								
	14										115																																						740																													-10			-10																																																																																																								
	15										120																																						740																													-10			-10																																																																																																								
클로즈 핀 에어	1				15						60			30																																			740																																																																														-3																																																										
	2				20						65			33																																			740																																																																														-4																																																										
	3				25						70			35																																			740																																																																														-5																																																										
	4				30						75			38																																			740																																																																														-6																																																										
	5				35						80			40																																			740																																																																														-7																																																										
	6				40						85			43																																			740																																																																														-8																																																										
	7				45						90			45																																			740																																																																														-9																																																										
	8				50						95			48																																			740																																																																														-10																																																										
	9				55						100			50																																			740																																																																														-11																																																										
	10				60						105			53																																			740																																																																														-11																																																										
	11				65						110			55																																			740																																																																														-11																																																										
	12				70						115			58																																			740																																																																														-11																																																										
	13				75						120			60																																			740																																																																														-11																																																										
	14				80						125			63																																			740																																																																														-11																																																										
	15				85						130			65																																			740																																																																														-11																																																										
루나 마스커레이드	1																																																	1																																																																																																																																							
	2																																															672		1																																																																																																																																							
	3																																															672;676		1																																																																																																																																							
	4																																															672;676;678		1																																																																																																																																							
	5																																															672;676;678;680		1																																																																																																																																							
	6																																															672;676;678;680		1																																																																																																																																							
	7																																															672;676;678;680		1																																																																																																																																							
	8																																															672;676;678;680		1																																																																																																																																							
	9																																															672;676;678;680		1																																																																																																																																							
	10																																															672;676;678;680		1																																																																																																																																							
	11																																															672;676;678;680		1																																																																																																																																							
	12																																															672;676;678;680		1																																																																																																																																							
	13																																															672;676;678;680		1																																																																																																																																							
	14																																															672;676;678;680		1																																																																																																																																							
	15																																															672;676;678;680		1																																																																																																																																							
찬트 마스커레이드	1																																																	1																																																																																																																																							
	2																																															682		1																																																																																																																																							
	3																																															682;684		1																																																																																																																																							
	4																																															682;684;685		1																																																																																																																																							
	5																																															682;684;685;751		1																																																																																																																																							
	6																																															682;684;685;751		1																																																																																																																																							
	7																																															682;684;685;751		1																																																																																																																																							
	8																																															682;684;685;751		1																																																																																																																																							
	9																																															682;684;685;751		1																																																																																																																																							
	10																																															682;684;685;751		1																																																																																																																																							
	11																																															682;684;685;751		1																																																																																																																																							
	12																																															682;684;685;751		1																																																																																																																																							
	13																																															682;684;685;751		1																																																																																																																																							
	14																																															682;684;685;751		1																																																																																																																																							
	15																																															682;684;685;751		1																																																																																																																																							
돈틀리스 마스커레이드	1																																																	1																																																																																																																																							
	2																																															670		1																																																																																																																																							
	3																																															670;674		1																																																																																																																																							
	4																																															670;674;677		1																																																																																																																																							
	5																																															670;674;677;679		1																																																																																																																																							
	6																																															670;674;677;679		1																																																																																																																																							
	7																																															670;674;677;679		1																																																																																																																																							
	8																																															670;674;677;679		1																																																																																																																																							
	9																																															670;674;677;679		1																																																																																																																																							
	10																																															670;674;677;679		1																																																																																																																																							
	11																																															670;674;677;679		1																																																																																																																																							
	12																																															670;674;677;679		1																																																																																																																																							
	13																																															670;674;677;679		1																																																																																																																																							
	14																																															670;674;677;679		1																																																																																																																																							
	15																																															670;674;677;679		1																																																																																																																																							
파이어스 마스커레이드	1																																															351		1																																																																																																																																							
	2																																															351;694		1																																																																																																																																							
	3																																															351;694;695		1																																																																																																																																							
	4																																															351;694;695;696		1																																																																																																																																							
	5																																															351;694;695;696;697		1																																																																																																																																							
	6																																															351;694;695;696;697		1																																																																																																																																							
	7																																															351;694;695;696;697		1																																																																																																																																							
	8																																															351;694;695;696;697		1																																																																																																																																							
	9																																															351;694;695;696;697		1																																																																																																																																							
	10																																															351;694;695;696;697		1																																																																																																																																							
	11																																															351;694;695;696;697		1																																																																																																																																							
	12																																															351;694;695;696;697		1																																																																																																																																							
	13																																															351;694;695;696;697		1																																																																																																																																							
	14																																															351;694;695;696;697		1																																																																																																																																							
	15																																															351;694;695;696;697		1																																																																																																																																							
폴른 마스커레이드	1																																																	1																																																																																																																																							
	2																																															669		1																																																																																																																																							
	3																																															669;671		1																																																																																																																																							
	4																																															669;671;683		1																																																																																																																																							
	5																																															669;671;683;673		1																																																																																																																																							
	6																																															669;671;683;673		1																																																																																																																																							
	7																																															669;671;683;673		1																																																																																																																																							
	8																																															669;671;683;673		1																																																																																																																																							
	9																																															669;671;683;673		1																																																																																																																																							
	10																																															669;671;683;673		1																																																																																																																																							
	11																																															669;671;683;673		1																																																																																																																																							
	12																																															669;671;683;673		1																																																																																																																																							
	13																																															669;671;683;673		1																																																																																																																																							
	14																																															669;671;683;673		1																																																																																																																																							
	15																																															669;671;683;673		1																																																																																																																																							
마스커레이드 마스터	1																																																		1	1																																																																																																																																					
	2																																																		1	1																																																																																																																																					
	3																																																		1	1																																																																																																																																					
	4																																																		1	2																																																																																																																																					
	5																																																		1	2																																																																																																																																					
	6																																																		1	2																																																																																																																																					
	7																																																		1	3																																																																																																																																					
	8																																																		1	3																																																																																																																																					
	9																																																		1	3																																																																																																																																					
	10																																																		1	4																																																																																																																																					
	11																																																		1	4																																																																																																																																					
	12																																																		1	4																																																																																																																																					
	13																																																		1	5																																																																																																																																					
	14																																																		1	5																																																																																																																																					
	15																																																		1	5																																																																																																																																					
<Battle>치명타방어력증가	1																																																																																																																																																																																						20		
테스트용람다	1																																																																																																																																																																																				50	50	50		
<소환>테스트용람다	1																																																																																																																																																																																								
두기 Lv 1	1																																																																																																																																																																																				1	1	0		
<소환>두기 Lv 1	1																																																																																																																																																																																								
두기 Lv 2	1																																																																																																																																																																																				1	1	1		
<소환>두기 Lv 2	1																																																																																																																																																																																								
두기 Lv 3	1																																																																																																																																																																																				2	2	1		
<소환>두기 Lv 3	1																																																																																																																																																																																								
두기 Lv 4	1																																																																																																																																																																																				3	3	3		
<소환>두기 Lv 4	1																																																																																																																																																																																								
두기 Lv 5	1																																																																																																																																																																																				3	3	4		
<소환>두기 Lv 5	1																																																																																																																																																																																								
두기 Lv 6	1																																																																																																																																																																																				4	4	5		
<소환>두기 Lv 6	1																																																																																																																																																																																								
두기 Lv 7	1																																																																																																																																																																																				5	5	6		
<소환>두기 Lv 7	1																																																																																																																																																																																								
두기 Lv 8	1																																																																																																																																																																																				7	7	7		
<소환>두기 Lv 8	1																																																																																																																																																																																								
두기 Lv 9	1																																																																																																																																																																																				8	8	8		
<소환>두기 Lv 9	1																																																																																																																																																																																								
두기 Lv 10	1																																																																																																																																																																																				10	10	10		
<소환>두기 Lv 10	1																																																																																																																																																																																								
라쿤델 Lv 1	1																																																																																																																																																																																				1	1	0		
<소환>라쿤델 Lv 1	1																																																																																																																																																																																								
라쿤델 Lv 2	1																																																																																																																																																																																				1	1	1		
<소환>라쿤델 Lv 2	1																																																																																																																																																																																								
라쿤델 Lv 3	1																																																																																																																																																																																				2	2	1		
<소환>라쿤델 Lv 3	1																																																																																																																																																																																								
라쿤델 Lv 4	1																																																																																																																																																																																				3	3	3		
<소환>라쿤델 Lv 4	1																																																																																																																																																																																								
라쿤델 Lv 5	1																																																																																																																																																																																				3	3	4		
<소환>라쿤델 Lv 5	1																																																																																																																																																																																								
라쿤델 Lv 6	1																																																																																																																																																																																				4	4	5		
<소환>라쿤델 Lv 6	1																																																																																																																																																																																								
라쿤델 Lv 7	1																																																																																																																																																																																				5	5	6		
<소환>라쿤델 Lv 7	1																																																																																																																																																																																								
라쿤델 Lv 8	1																																																																																																																																																																																				7	7	7		
<소환>라쿤델 Lv 8	1																																																																																																																																																																																								
라쿤델 Lv 9	1																																																																																																																																																																																				8	8	8		
<소환>라쿤델 Lv 9	1																																																																																																																																																																																								
라쿤델 Lv 10	1																																																																																																																																																																																				10	10	10		
<소환>라쿤델 Lv 10	1																																																																																																																																																																																								
래티맨 Lv 1	1																																																																																																																																																																																				1	1	0		
<소환>래티맨 Lv 1	1																																																																																																																																																																																								
래티맨 Lv 2	1																																																																																																																																																																																				1	1	1		
<소환>래티맨 Lv 2	1																																																																																																																																																																																								
래티맨 Lv 3	1																																																																																																																																																																																				2	2	1		
<소환>래티맨 Lv 3	1																																																																																																																																																																																								
래티맨 Lv 4	1																																																																																																																																																																																				3	3	3		
<소환>래티맨 Lv 4	1																																																																																																																																																																																								
래티맨 Lv 5	1																																																																																																																																																																																				3	3	4		
<소환>래티맨 Lv 5	1																																																																																																																																																																																								
래티맨 Lv 6	1																																																																																																																																																																																				4	4	5		
<소환>래티맨 Lv 6	1																																																																																																																																																																																								
래티맨 Lv 7	1																																																																																																																																																																																				5	5	6		
<소환>래티맨 Lv 7	1																																																																																																																																																																																								
래티맨 Lv 8	1																																																																																																																																																																																				7	7	7		
<소환>래티맨 Lv 8	1																																																																																																																																																																																								
래티맨 Lv 9	1																																																																																																																																																																																				8	8	8		
<소환>래티맨 Lv 9	1																																																																																																																																																																																								
래티맨 Lv 10	1																																																																																																																																																																																				10	10	10		
<소환>래티맨 Lv 10	1																																																																																																																																																																																								
루 Lv 1	1																																																																																																																																																																																				1	1	0		
<소환>루 Lv 1	1																																																																																																																																																																																								
루 Lv 2	1																																																																																																																																																																																				1	1	1		
<소환>루 Lv 2	1																																																																																																																																																																																								
루 Lv 3	1																																																																																																																																																																																				2	2	1		
<소환>루 Lv 3	1																																																																																																																																																																																								
루 Lv 4	1																																																																																																																																																																																				3	3	3		
<소환>루 Lv 4	1																																																																																																																																																																																								
루 Lv 5	1																																																																																																																																																																																				3	3	4		
<소환>루 Lv 5	1																																																																																																																																																																																								
루 Lv 6	1																																																																																																																																																																																				4	4	5		
<소환>루 Lv 6	1																																																																																																																																																																																								
루 Lv 7	1																																																																																																																																																																																				5	5	6		
<소환>루 Lv 7	1																																																																																																																																																																																								
루 Lv 8	1																																																																																																																																																																																				7	7	7		
<소환>루 Lv 8	1																																																																																																																																																																																								
루 Lv 9	1																																																																																																																																																																																				8	8	8		
<소환>루 Lv 9	1																																																																																																																																																																																								
루 Lv 10	1																																																																																																																																																																																				10	10	10		
<소환>루 Lv 10	1																																																																																																																																																																																								
밀피 Lv 1	1																																																																																																																																																																																				1	1	0		
<소환>밀피 Lv 1	1																																																																																																																																																																																								
밀피 Lv 2	1																																																																																																																																																																																				1	1	1		
<소환>밀피 Lv 2	1																																																																																																																																																																																								
밀피 Lv 3	1																																																																																																																																																																																				2	2	1		
<소환>밀피 Lv 3	1																																																																																																																																																																																								
밀피 Lv 4	1																																																																																																																																																																																				3	3	3		
<소환>밀피 Lv 4	1																																																																																																																																																																																								
밀피 Lv 5	1																																																																																																																																																																																				3	3	4		
<소환>밀피 Lv 5	1																																																																																																																																																																																								
밀피 Lv 6	1																																																																																																																																																																																				4	4	5		
<소환>밀피 Lv 6	1																																																																																																																																																																																								
밀피 Lv 7	1																																																																																																																																																																																				5	5	6		
<소환>밀피 Lv 7	1																																																																																																																																																																																								
밀피 Lv 8	1																																																																																																																																																																																				7	7	7		
<소환>밀피 Lv 8	1																																																																																																																																																																																								
밀피 Lv 9	1																																																																																																																																																																																				8	8	8		
<소환>밀피 Lv 9	1																																																																																																																																																																																								
밀피 Lv 10	1																																																																																																																																																																																				10	10	10		
<소환>밀피 Lv 10	1																																																																																																																																																																																								
블룸 Lv 1	1																																																																																																																																																																																				1	1	0		
<소환>블룸 Lv 1	1																																																																																																																																																																																								
블룸 Lv 2	1																																																																																																																																																																																				1	1	1		
<소환>블룸 Lv 2	1																																																																																																																																																																																								
블룸 Lv 3	1																																																																																																																																																																																				2	2	1		
<소환>블룸 Lv 3	1																																																																																																																																																																																								
블룸 Lv 4	1																																																																																																																																																																																				3	3	3		
<소환>블룸 Lv 4	1																																																																																																																																																																																								
블룸 Lv 5	1																																																																																																																																																																																				3	3	4		
<소환>블룸 Lv 5	1																																																																																																																																																																																								
블룸 Lv 6	1																																																																																																																																																																																				4	4	5		
<소환>블룸 Lv 6	1																																																																																																																																																																																								
블룸 Lv 7	1																																																																																																																																																																																				5	5	6		
<소환>블룸 Lv 7	1																																																																																																																																																																																								
블룸 Lv 8	1																																																																																																																																																																																				7	7	7		
<소환>블룸 Lv 8	1																																																																																																																																																																																								
블룸 Lv 9	1																																																																																																																																																																																				8	8	8		
<소환>블룸 Lv 9	1																																																																																																																																																																																								
블룸 Lv 10	1																																																																																																																																																																																				10	10	10		
<소환>블룸 Lv 10	1																																																																																																																																																																																								
