기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	스워시버클러클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	시온클래스전용	요구레벨	요구스킬포인트	요구 히로익 포인트	요구 카리스마 포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트	히로익 공격 포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%	히로익 공격%			소모생명	소모마나		소모화살	생명감소		시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	히로익 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사									내구도 하락량%	영향받는 아이템수	영향 받는 마리수	소환수 레벨 증가	크리티컬 발동 확률	스턴 성공 확률	방패블럭	스턴타임	스턴 생성 간격	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	시간 변경	아이템 부위	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	최대소환마리수	보너스경험치	보너스겔드	보너스드롭율	피해 흡수율	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	최소 히로익 공격	최대 히로익 공격	히로익 방어력	근접 히로익 저항력	원거리 히로익 저항력	마법 히로익 저항력	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	물리 방어력 무시	속성 저항력 무시	크리티컬 저항력	desc
네가티브	일정시간 동안 정령속성 공격력 및 저항력 증가	V	V		V	V													V	V																											V					V	V	V	V																																																																V																																																												V	V	V	V	V					V	V	V	V	V					V	V	V	V	V																																																																					정령속성공격력증가\n정령속성저항증가
이모탈 콜링	일정시간 동안 영웅의 혼이 강림하여 자신의 상태 강화	V	V		V	V													V	V																											V					V	V	V	V																																																																V																																					V	V		V																																					V																																																																										상태강화
스프린트	일정시간 동안 이동속도 증가	V	V		V	V													V	V																											V					V	V	V	V																																																																V		V	V																																																																																																			V																																																	이동속도증가
블러드 페인트	일정시간 동안 크리티컬 확률 및 크리티컬 시 공격력 증가	V	V		V	V													V	V																											V					V	V	V	V																																								V					V																			V																																																																																																																																																							크리티컬증가
샤프 어태커	일정시간 동안 일반공격과 정령속성 공격의 성공률을 증가시켜주며 스킬 캐스팅 시간 감소	V	V		V	V													V	V																											V					V	V	V	V																																																																V																																																						V		V																																																																																															명중률증가\n스킬캐스팅감소
세크리파이스	일정시간 동안 자신을 희생하여 생명력 증가	V	V		V	V													V	V																											V					V	V	V	V																																																																V																																																											V									V									V																															V																																											생명력증가
스피리트 실드	일정시간 동안 방패에 의한 정령속성 저항력 증가	V	V		V	V													V	V																											V					V	V	V	V																																																																V																																																																														V	V	V	V	V																																																																					정령속성저항력증가
리썰 어택	일정시간 동안 공격 데미지를 최대로 고정\n일정확률로 일반 공격 시 대상의 물리 방어력을 무시	V	V		V				V										V	V																											V					V	V	V	V																																																																V																																																																																																																																																				V			최대물리공격력고정\n일정확률로물리방어력무시
위크 엔드	일정시간 동안 대상의 공격력을 최소 데미지로 고정	V	V		V				V										V	V																											V					V	V	V	V			V																																																													V																																																																																																																																																							최소물리공격력고정
버서크	일정시간 동안 자신의 상태 강화 및 이동속도 증가. 스킬 종료후 생명력 소모	V	V		V				V										V	V																											V			V		V	V	V	V																																																																V		V	V																																		V	V		V																			V									V									V																									V																																																	상태강화\n이동속도증가
바이탈 차지	일정시간 동안 데미지를 흡수하여 생명력으로 전환	V	V		V				V										V	V																											V					V	V	V	V																																															V	V																V																																																																																																																																																							물리공격흡수생명전환
네츄럴 워리어	일정시간 동안 정령속성 공격력과 저항력 증가 및 크리티컬 저항력과 최대 생명력 증가\n\n스킬 종료후 생명력 소모	V	V		V				V										V	V																											V			V		V	V	V	V																																																																V																																																												V	V	V	V	V				V	V	V	V	V	V					V	V	V	V	V																										V																																										V	정령속성공격력증가\n정령속성저항력증가\n크리티컬저항력증가\n최대생명력증가
브레이크 바디	일정시간 동안 대상의 물리 방어력 감소	V	V		V				V										V	V																											V					V	V	V	V			V	V																																																												V																																																																													V																																																																										방어력감소
페닉	일정시간 동안 대상의 이동속도 감소	V	V		V				V										V	V																											V					V	V	V	V																																																																V																																																																																																						V																																																	이동속도감소
파워레스 쇼	일정시간 동안 대상의 물리 공격력 감소	V	V		V				V										V	V																											V					V	V	V	V			V																																																													V																																																											V									V																																																																																			물리공격력감소
대미지 맥시마	크리티컬 확률 및 크리티컬 시 공격력 증가	V	V			V			V										V	V																																																																											V					V																			V																																																																																																																																																							
홀드 디펜스	물리 방어력 증가	V	V			V													V	V																																																																																																			V																																																																													V																																																																										
헬스 번	생명력 증가	V	V			V													V	V																																																																																																			V																																																																																																												V																																											
스피리트 스냅	정령속성 저항력 증가	V	V			V													V	V																																																																																																			V																																																																														V	V	V	V	V																																																																					
레드 히트	명중률 증가	V	V						V										V	V																																																																																																			V																																																								V																																																																																															
카운터 어택	방어 후 증가 공격	V	V						V										V	V																																																														V																				V																	V																																																																																																																																																							
데스 스트라이크	공격 시 일정확률로 적의 생명력을 크게 감소	V	V						V										V	V																																																																																		V														V			V																																																																																																																																																							
듀얼샷	대상을 이중으로 공격	V	V	V			V			V									V	V														V													V		V			V	V	V			V	V																																																													V				V																																																																																																																																																			
피어스샷	직선 범위의 대상을 관통 공격	V	V	V			V			V									V	V														V													V		V			V	V	V				V		V	V																																																										V																																																																																																																																																							
마나체이서	대상을 마나화살로 공격한 후 일정확률로 스턴	V	V	V			V			V									V	V														V	V												V					V	V	V				V																																						V		V																					V				V																																																																																																																																																			스턴효과
트리플샷	대상을 삼중으로 공격	V	V	V			V			V									V	V														V													V		V			V	V	V			V	V																																																													V				V																																																																																																																																																			
체인 액션	대상을 공격한 후 일정시간 동안 대상의 이동속도와 공격속도 감소 및 스킬 캐스팅 시간 증가	V	V	V			V			V									V	V														V													V		V			V	V	V	V			V																																																													V																																																						V																																																V									V																																								이동속도감소\n공격속도감소\n스킬캐스팅증가
블링크샷	대상을 공격한 후 일정시간 동안 대상의 공격성공률 감소	V	V	V			V			V									V	V														V													V		V			V	V	V	V			V																																																													V				V																																																				V																																																																																															공격성공률감소
파이어샷	대상을 불화살로 공격	V	V	V			V			V									V	V								V						V					V								V		V			V	V	V	V			V									V																																												V								V				V																																																																																																																																																			
파워샷	대상을 강하게 공격	V	V	V			V			V									V	V														V													V		V			V	V	V				V																																																													V				V																																																																																																																																																			
스나이프샷	대상을 먼거리에서 공격	V	V	V			V			V									V	V														V													V		V			V	V	V				V																																																													V				V																																																																																																																																																			
스틸바스터	대상을 폭발화살로 공격	V	V	V			V			V									V	V														V													V		V			V	V	V				V	V																																																												V				V																																																																																																																																																			
멀티플 애로우	원거리로 원형범위 내에 대상들을 쏟아지는 화살로 공격	V	V	V			V			V									V	V														V													V		V			V	V	V				V	V																																																												V																																																																																																																																																							
피닉스샷	대상을 연속적으로 강하게 공격	V	V	V			V			V									V	V														V					V								V		V			V	V	V				V	V																																																												V																																																																																																																																																							
네이쳐샷	일정시간 동안 대상의 이동속도 감소	V	V	V	V		V			V									V	V														V													V		V			V	V	V	V			V																																																													V				V																																																																																																		V																																																	이동속도감소
소울 오브 애니멀	[파티] 일정시간 동안 자신과 원형 범위 내 파티원의 물리 공격력과 물리 방어력 및 물리 저항력 증가 	V	V		V		V			V									V	V																											V					V	V	V	V			V	V																																																												V																																																											V									V									V									V																																																																	물리공격력증가\n물리방어력증가\n물리저항력증가
굿 보우	일정시간 동안 활의 데미지 증가	V	V		V		V			V									V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
굿 크로스보우	일정시간 동안 석궁의 데미지 증가	V	V		V		V			V									V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
스네어샷	일정시간 동안 원거리 원형 범위 내 대상들의 이동속도 감소	V	V	V	V		V			V									V	V														V													V		V			V	V	V	V			V	V																																																												V																																																																																																						V																																																	이동속도감소
우드스킨	일정시간 동안 물리 방어력 및 스킬 블럭률 증가	V	V		V		V												V	V																											V					V	V	V	V																																																																V																																																																													V											V																																																															물리방어력증가\n스킬블럭률증가
샤프 슈터	일정시간 동안 자신의 명중률과 회피율 증가 및 스킬 캐스팅 시간 감소	V	V		V		V												V	V																											V					V	V	V	V																																																																V																																																						V		V	V	V																																																																																													명중률및회피율증가\n스킬캐스팅감소
윈드 애로우	대상을 공기 정령속성 공격	V	V	V			V												V	V						V								V			V										V		V			V	V	V				V																																																													V																																																																																																																																																							
리얼 레인지	일정시간 동안 일반공격 사정거리 증가	V	V		V		V												V	V																											V					V	V	V	V																																																																V																																																					V																																																																																																		사정거리증가
포이즌 애로우	대상을 독 정령속성 공격	V	V	V			V												V	V									V					V						V							V		V			V	V	V	V			V										V																																											V								V				V																																																																																																																																																			독지속공격
브레스 소울	일정시간 동안 정령속성 공격력 및 정령속성 방어력 증가	V	V		V		V												V	V																											V					V	V	V	V																																																																V																																																												V	V	V	V	V					V	V	V	V	V					V	V	V	V	V																																																																					정령속성공격력증가\n정령방어력증가
헬프리스	일정시간 동안 대상의 물리방어력과 정령속성 방어력 및 크리티컬 공격력 감소	V	V		V		V												V	V														V													V		V			V	V	V	V			V																																										V																			V				V																																																																									V	V	V	V	V	V																																																																					물리방어력감소\n정령방어력감소\n크리티컬공격력감소
헤비 핸드	일정시간 동안 대상의 공격속도 감소 및 스킬 캐스팅 시간 증가	V	V		V		V												V	V														V													V		V			V	V	V	V			V	V																																																												V				V																																																		V																																																									V																																								공격속도감소\n스킬캐스팅증가
어게인스트	일정시간 동안 정령속성 저항력 증가	V	V		V					V									V	V																											V					V	V	V	V																																																																V																																																																														V	V	V	V	V																																																																					정령속성저항력증가
미스 리더	일정시간 동안 자신의 회피율 및 스킬블럭률 증가	V	V		V					V									V	V																											V					V	V	V	V																																																																V																																																									V	V																														V																																																															회피율증가\n스킬블럭률증가
페인 애로우	일정시간 지속적인 손상을 입힘	V	V	V						V									V	V														V													V		V			V	V	V	V			V				V																																																	V								V																																																																																																																																																							물리지속공격
큐어	일정시간 동안 자신에게 시전된 상태약화 효과를 일정확률로 치료	V	V		V					V									V	V																											V					V	V	V	V	V																																														V																	V																																																																																																																																																							상태약화치료
치터	일정시간 동안 자신의 적대치 날림. PVP시 자신에게 걸린 타겟팅 날림	V	V		V					V									V	V																											V					V	V	V	V																																															V																	V																																																																																																																																																							
그레이트 바스터	대상을 극단적인 데미지로 공격한 후 크리티컬 성공율 및 크리티컬 공격력 감소	V	V	V						V									V	V														V													V		V			V	V	V	V			V																																					V					V																			V				V																																																																																																																																																			크리티컬성공율감소\n크리티컬공격력감소
어스 빌	대상의 땅 정령속성 공격한 후 크리티컬 공격력 감소	V	V	V						V									V	V							V							V				V									V		V			V	V	V	V			V																																										V																			V				V																																																																																																																																																			크리티컬공격력감소
나이트워크	일정시간 동안 선공몬스터에 대한 적대치 사라짐. 자신의 이동속도 감소	V	V		V					V									V	V																											V					V	V	V	V																																																																V																																																																																																						V																																																	선공적대감소\n이동속도감소
스커드	이동속도 증가	V	V				V			V									V	V																																																																																																			V		V	V																																																																																																			V																																																	
크리티컬 히트	크리티컬 확률 및 크리티컬 시 공격력 증가	V	V				V												V	V																																																																											V					V																			V																																																																																																																																																							
퍼펙트 골드	명중률 증가	V	V				V												V	V																																																																																																			V																																																								V																																																																																															
퍼슈어링	마나 증가	V	V				V												V	V																																																																																																			V																																																																																																													V																																										
이베이드	근거리 공격에 대한 회피율 증가	V	V							V									V	V																																																																																																			V																																																									V																																																																																														
다지	원거리 공격에 대한 회피율 증가	V	V							V									V	V																																																																																																			V																																																										V																																																																																													
스프라이트 콜링	정령속성 저항력 증가	V	V							V									V	V																																																																																																			V																																																																														V	V	V	V	V																																																																					
포스	마법사 클래스의 기본 원거리 공격스킬	V	V					V			V								V																												V					V	V	V				V																																																																	V																																																																																																																																																			
플레임 코어	원거리 대상을 불꽃으로 공격	V	V	V				V			V								V	V								V						V					V								V					V	V	V				V																																																													V				V																																																																																																																																																			
블레이즈 월	불꽃의 벽으로 직선 범위의 대상 공격	V	V	V				V			V								V	V								V						V					V								V					V	V	V				V		V	V																																																										V				V																																																																																																																																																			
매직 볼트	원거리의 대상을 마법으로 공격	V	V	V				V			V								V	V				V										V	V												V					V	V	V				V																																																													V				V																																																																																																																																																			
워터 스파우트	원거리의 대상을 물의 힘으로 공격한 후 일정시간 지속적인 물 정령속성 지속 데미지	V	V	V				V			V								V	V					V									V		V											V					V	V	V	V			V						V																																															V								V																																																																																																																																																							
네이팜 플레임	일정거리 원거리의 대상을 지속적으로 불태움	V	V	V				V			V								V	V								V						V					V								V					V	V	V	V			V									V																																												V								V																																																																																																																																																							
멀티플 스프린터	자신 중심 원형 범위 내에 대상들을 공격한 후 땅의 힘으로 일정시간 동안 대상의 이동속도 및 공격속도 감소	V	V	V				V			V								V	V							V							V				V									V					V	V	V	V			V	V																																																												V																																																																																																						V									V																																								이동속도감소\n공격속도감소
윈드 스매쉬	원거리의 대상을 바람으로 공격	V	V	V				V			V								V	V						V								V			V										V					V	V	V				V																																																													V																																																																																																																																																							
헬 타이푼	원거리 원형 범위의 대상들을 바람으로 공격	V	V	V				V			V								V	V						V								V			V										V					V	V	V				V	V																																																												V																																																																																																																																																							
어스퀘이크	자신 중심 원형 범위의 대상들을 지진으로 공격	V	V	V				V			V								V	V							V							V				V									V					V	V	V				V	V																																																												V																																																																																																																																																							
애시드 레인	자신 중심 원형 범위내의 대상들을 산성 비로 공격한 후 일정시간 동안 대상에게 지속 데미지	V	V	V				V			V								V	V					V									V		V											V					V	V	V	V			V	V					V																																															V								V																																																																																																																																																							
휠 기어	원거리 원형 범위내의 대상들을 물로 공격	V	V	V				V			V								V	V					V									V		V											V					V	V	V				V	V																																																												V																																																																																																																																																							
소울 케오스	자신 중심 원거리형 범위내의 대상들을 마법으로 공격	V	V	V				V			V								V	V				V										V	V												V					V	V	V				V	V																																																												V																																																																																																																																																							
바이탈 컨버젼	일정시간 동안 자신의 생명력 증가	V	V					V			V								V	V																											V					V	V	V	V																																																																V																																																																																																												V																																											생명력증가
지오 샤드	원거리 대상을 땅의 힘으로 묶은 후 이동속도 및 공격속도 감소	V	V	V				V			V								V	V							V							V				V									V					V	V	V	V			V																																																													V																																																																																																						V									V																																								이동속도감소\n공격속도감소
굿 스태프	일정시간 동안 스태프 데미지 증가	V	V		V			V			V								V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
굿 완드	일정시간 동안 완드 데미지 증가	V	V		V			V			V								V	V																											V					V	V	V	V																																																																V																																																											V									V																																																																																			물리공격력증가
윈드 쉐이크	자신 중심 원형 범위내의 대상들을 바람으로 묶어 이동속도 감소	V	V	V				V			V								V	V						V								V			V										V					V	V	V	V			V	V																																																												V																																																																																																						V																																																	
데몰리션 송	대상에 대한 극단적인 데미지 공격	V	V	V				V											V	V														V													V					V	V	V				V																																																													V																																																																																																																																																							
루즈 디펜스	일정시간 동안 대상을 중심으로 원형범위의 물리 방어력 감소	V	V		V			V											V	V																											V					V	V	V	V			V	V																																																												V																																																																													V																																																																										물리방어력감소
그라인드 풀링	일정시간 동안 대상의 이동속도 감소 및 지속 데미지 증가	V	V	V	V			V											V	V														V													V					V	V	V	V			V				V																																																	V								V																																																																																																						V																																																	이동속도감소\n물리지속공격
스터너	일정시간 동안 적의 공격을 일정확률로 방어하고 스킬블럭률 증가	V	V		V			V											V	V																											V					V	V	V	V																																															V																	V																																																																																								V																																																															공격방어\n스킬블럭률증가
데스 마크	일정시간 동안 원거리의 대상에게 주문을 걸어 일정시간 상태 약화	V	V		V			V											V	V																											V					V	V	V	V			V																																																													V																																					V	V	V	V		V																	V									V									V																																																																										상태약화
리플렉션	일정시간 동안 일정확률로 물리 저항력 증가 및 크리티컬 저항력 증가	V	V		V			V											V	V																											V					V	V	V	V																																																																V																																																																																						V																																																																V	크리티컬저항력증가\n물리저항력증가
