고통의 입구	Gate of Pain
아르시안 외성문	Arthian External Gate
아르시안 성 내부	Arthian Inside
아르시안 내성문	Arthian Internal Gate
아르시안 성주 사냥터	Arthian Secret Dungeon
자객마을	Assassin Village
천문관측소	Astronomy Observatory
폰 아이젠하우스	Asylum
폰 아이젠하우스 2층	Asylum 1st Floor
폰 2층 입구	Asylum 1st Floor Entrance
폰 아이젠하우스 2층 입구	Asylum 1st Floor Entrance
폰 아이젠하우스 2층 출구	Asylum 1st Floor Exit
폰 아이젠하우스 3층	Asylum 2nd Floor
폰 3층 입구	Asylum 2nd Floor Entrance
폰 아이젠하우스 3층 입구	Asylum 2nd Floor Entrance
폰 아이젠하우스 3층 출구	Asylum 2nd Floor Exit
폰 아이젠하우스 4층	Asylum 3rd Floor
폰 아이젠하우스 4층 입구	Asylum 3rd Floor Entrance
폰 출구	Asylum Exit
폰 입구	Asylum Gate
폰 1층 입구	Asylum Ground Floor Entrance
폰 아이젠하우스 1층 출구	Asylum Ground Floor Entrance
알현의 방	Audience Chamber
바라평원	Bala Plain
발러의 왕좌	Balor's Throne
산적마을	Bandit Village
바란다이크	Baran Dyke
바란다이크1요새	Baran Dyke Fortress One 
바란다이크3요새	Baran Dyke Fortress Three
바란다이크2요새	Baran Dyke Fortress Two
바르도터	Bardother
관문 마을	Barrier Village
관문마을	Barrier Village
배틀스퀘어	Battlesquare
베틀스퀘어	Battlesquare
바트나유적지	Battna Site
베이컨마을	Beacon Village
벨리가분지	Belliga Basin
새의낙원	Bird's Heaven
새의둥지	Bird's Nest
피의 제단	Blood Altar
피의 안식처	Blood Shelter
흡혈사막	Bloodsyphon Desert
블루리버강	Blue River 
멧돼지사냥터	Boar Field
경계의 다리	Boundary Bridge
생사의 경계지	Boundary of Life
경계석	Boundary Stone
끊어진 다리	Broken Bridge
북트라이부츠산맥	Buktributs Mountains
불란트부화장	Bullant Hatchery
범프필드	Bump Field
고트곶	Cape Gotto
케이브타운	Cave Town
세벤트의 둥지	Cevent's Nest
공포의 방	Chamber of Horror
광기의 방	Chamber of Madness
맹세의 방	Chamber of Oath
고통의 방	Chamber of Pain
절규의 방	Chamber of Screams
죽은자들의 방	Chamber of the Dead
잊혀진 자들의 방	Chamber of the Forgotten
대기실	Chamber of Time
통곡의 방	Chamber of Wailing
참프로르 호수	Champor Lake
칸트라 대륙	Chantra Continent
사자의 예배당	Chapel of The Dead
체스터 늪	Chester Swamp
닫혀진 광산	Closed Mine
닫혀진_광산	Closed Mine
닫혀진 광산 2층	Closed Mine 1st Floor
닫혀진 광산 2층 입구	Closed Mine 1st Floor Entrance
닫혀진_광산_2층_입구	Closed Mine 1st Floor Entrance
닫혀진 광산 2층 출구	Closed Mine 1st Floor Exit
닫혀진_광산_2층_출구	Closed Mine 1st Floor Exit
닫혀진 광산 3층	Closed Mine 2nd Floor
닫혀진 광산 3층 입구	Closed Mine 2nd Floor Entrance
닫혀진_광산_3층_입구	Closed Mine 2nd Floor Entrance
닫혀진_광산_3층_출구	Closed Mine 2nd Floor Exit
닫혀진 광산 입구	Closed Mine Entrance
닫혀진_광산_입구	Closed Mine Entrance
닫혀진 광산 출구	Closed Mine Exit
닫혀진_광산_출구	Closed Mine Exit
닫혀진 광산 1층	Closed Mine Ground Floor
닫혀진 광산 1층 입구	Closed Mine Ground Floor Entrance
닫혀진_광산_1층_출구	Closed Mine Ground Floor Entrance
닫혀진 광산 1층 출구	Closed Mine Ground Floor Exit
클라우드사원	Cloud Temple
콘트라하우스	Contra House
깊은 중심지	Core Arena
염화의 동굴 2층	Corrosion Cave 1st Floor
염화의 동굴 2층 입구	Corrosion Cave 1st Floor Entrance
염화의_동굴_2층_입구	Corrosion Cave 1st Floor Entrance
염화의 동굴 1층	Corrosion Cave Ground Floor
염화의 동굴 1층 입구	Corrosion Cave Ground Floor Entrance
염화의_동굴_1층_입구	Corrosion Cave Ground Floor Entrance
염화의 동굴 1층 출구	Corrosion Cave Ground Floor Exit
염화의_동굴_1층_출구	Corrosion Cave Ground Floor Exit
기억의 망루	Cove of Memories
크로우크로스	Crowcross
저주의 계곡	Curse Valley
다드홀	Dadhal
검은 파도 마을	Dark Wave Village
검은파도 마을	Dark Wave Village
검은파도마을	Dark Wave Village
죽은 앤트의 숲	Dead Arbor's Forest
망자의 절벽	Dead Cliff
데드라인	Dead Line
사신의 평원	Death Plain
델파라스	Delfaras
배틀게이트 델파라스	Delfaras Battlegate
델파라스 중앙광장	Delfaras Central Square
도시 델파라스	Delfaras City
델파라스 항구	Delfaras Harbor
데리벨	Deribelle
배틀게이트 데리벨	Deribelle Battlegate 
도시 데리벨	Deribelle City
데리벨 동문	Deribelle East Gate
데리벨 동시가지	Deribelle East Town
데리벨 북문	Deribelle North Gate
데리벨 남문	Deribelle South Gate
데리벨 남시가지	Deribelle South Town
데리벨 서문	Deribelle West Gate
데리벨 서시가지	Deribelle West Town
사막족의 땅	Desert Tribe Land
사막족 마을	Desert Tribe Village
디난트야드	Dinant Yard
현기증 습지	Dizzy Swamp
드래곤여관터	Dragon Inn
드래곤의 레어	Dragon's Lair
용의 기둥	Dragon's Pillar
꿈꾸는 절벽	Dreaming Cliff
흐릿한 강변	Dull Riverbank
용병사냥터	Dust Field
마른강 평원	Dusty Creek
동쪽분지	East Branch
정령의 폭포	Elements Waterfall 
엘로함망루	Elloham Watchtower
엘로힘 망루	Elloham Watchtower
엘로힘_망루	Elloham Watchtower
엘로힘망루	Elloham Watchtower
엘로르	Ellore
배틀게이트 엘로르	Ellore Battlegate
도시 엘로르	Ellore City
엘름볼트	Elmbolt
엘름볼트계곡	Elmbolt Valley
영원의 제국	Eternal Empire
영원동산	Eternal Hill
석양의해변	Evening Sea
모험도전지	Evor
원정대 천막촌	Expedition Camp Site
원정대천막촌	Expedition Camp Site
에저로크	Ezerock
낙석지대	Fallen Hills
오선지대	Five Lines
염랑의 동굴 2층	Flame Cave 1st Floor
염랑의 동굴 2층 입구	Flame Cave 1st Floor Entrance
염랑의_동굴_2층_입구	Flame Cave 1st Floor Entrance
염랑의 동굴 입구	Flame Cave Entrance
염랑의_동굴_입구	Flame Cave Entrance
염랑의 동굴 1층	Flame Cave Ground Floor
염랑의 동굴 1층 입구	Flame Cave Ground Floor Entrance
염랑의_동굴_1층_입구	Flame Cave Ground Floor Entrance
염랑의 동굴 1층 출구	Flame Cave Ground Floor Exit
염랑의_동굴_1층_출구	Flame Cave Ground Floor Exit
금지된_광산	Forbidden Mine
금지된광산	Forbidden Mine
금지된 광산 2층	Forbidden Mine 1st Floor
금지된 광산 2층 입구	Forbidden Mine 1st Floor Entrance
금지된_광산_2층_입구	Forbidden Mine 1st Floor Entrance
금지된 광산 2층 출구	Forbidden Mine 1st Floor Exit
금지된_광산_2층_출구	Forbidden Mine 1st Floor Exit
금지된 광산 3층	Forbidden Mine 2nd Floor
금지된 광산 3층 입구	Forbidden Mine 2nd Floor Entrance
금지된_광산_3층_입구	Forbidden Mine 2nd Floor Entrance
금지된 광산 입구	Forbidden Mine Entrance
금지된_광산_입구	Forbidden Mine Entrance
금지된 광산 출구	Forbidden Mine Exit
금지된_광산_출구	Forbidden Mine Exit
금지된 광산 1층	Forbidden Mine Ground Floor
금지된 광산 1층 입구	Forbidden Mine Ground Floor Entrance
금지된 광산 1층 출구	Forbidden Mine Ground Floor Exit
금지된_광산_1층_출구	Forbidden Mine Ground Floor Exit
포겔평원	Forgel Plains
잊혀진 동굴	Forgotten Cave
잊혀진 무덤	Forgotten Grave
잊혀진_무덤	Forgotten Grave
잊혀진 무덤 2층	Forgotten Grave 1st Floor 
잊혀진 무덤 2층 입구	Forgotten Grave 1st Floor Entrance
잊혀진_무덤_2층_입구	Forgotten Grave 1st Floor Entrance
잊혀진 무덤 2층 출구	Forgotten Grave 1st Floor Exit
잊혀진_무덤_2층_출구	Forgotten Grave 1st Floor Exit
잊혀진 무덤 3층	Forgotten Grave 2nd Floor 
잊혀진 무덤 3층 입구	Forgotten Grave 2nd Floor Entrance
잊혀진_무덤_3층_입구	Forgotten Grave 2nd Floor Entrance
잊혀진 무덤 입구	Forgotten Grave Entrance
잊혀진_무덤_입구	Forgotten Grave Entrance
잊혀진 무덤 출구	Forgotten Grave Exit
잊혀진_무덤_출구	Forgotten Grave Exit
잊혀진 무덤 1층	Forgotten Grave Ground Floor
잊혀진 무덤 1층 입구	Forgotten Grave Ground Floor Entrance
잊혀진 무덤 1층 출구	Forgotten Grave Ground Floor Exit
잊혀진_무덤_1층_출구	Forgotten Grave Ground Floor Exit
배틀스퀘어 <분열의 문>	Gate of Division
분열의 문	Gate of Division
배틀스퀘어 <탐욕의 문>	Gate of Greed
탐욕의 문	Gate of Greed
배틀스퀘어 <분노의 문>	Gate of Rage
분노의 문	Gate of Rage
배틀스퀘어 <슬픔의 문>	Gate of Sadness
슬픔의 문	Gate of Sadness
돌아오지 않는 길	Gauntlet Pass
대장의 정원	General's Garden
고스트분지	Ghost Valley
거인의 가도	Giant's Highroad
유리호수	Glass Lake
글리터스	Glitters
영광의 귀환지	Glory Port
노움의굴	Gnome Cave
고블린분지	Goblin Valley
황금의길	Gold Road
골룬도	Golundo
배틀게이트 골룬도	Golundo Battle Gate
골룬도 마을	Golundo Village
골룬도마을	Golundo Village
고토강	Gotto River
그랜드크림슨	Grand Crimson
망자의 묘	Grave of the Dead
초록음악지	Green Music Hall
그레이 계곡	Grey Valley
그림로어	Grimlore
그룬트반도	Groont Peninsula
과다니니폭포	Guadanini Waterfall
길드 경기장	Guild Battle Square
길드경기장	Guild Battle Square
집시촌	Gypsy Town
망치계곡	Hammer Valley
흉가주점	Haunted Inn
매의고원	Hawk's Plateau
하이드백	Hideback 
하이드백 마을	Hideback Village
하이드백마을	Hideback Village
사냥꾼의 숲	Hunter's Forest
무한의 수차	Infinite Mill
인플레임 성	Inflame Castle
인플레임 성 입구	Inflame Castle Entrance
인플레임 성 내부	Inflame Castle Inside
인플레임성 내부	Inflame Castle Inside
인플레임성 내성문	Inflame Castle Internal Gate
인플레임 성 성주 사냥터	Inflame Castle Secret Dungeon
인플레임 성 인근	Inflame Castle Vicinity
인플레임 외성문	Inflame External Gate
인플레임 렌스피어 입구	Inflame Rensphere Entrance
인플레임 성주 사냥터	Inflame Secret Dungeon
상아무덤마을	Ivory Grave Village
자무쉬의 봉인	Jamushi's Seal
현악의 땅	Jaztero
보석의 땅	Jewel Land
칸디아광산	Kandia Mine
캐러번 로드	Karebun Road
캐러번_로드	Karebun Road
캐러번로드	Karebun Road
왕의 다리	King's Bridge
왕의사냥터	King's Hunting Field
카이젠폭포	Kisen Waterfall
쿤	Kuhn
배틀게이트 쿤	Kuhn Battlegate 
도시 쿤	Kuhn City
라트리아	Latria
라플레시아	Laflesia
배틀게이트 라프레시아	Laflesia Battlegate 
도시 라플레시아	Laflesia City
땅이 우는 곳	Lamentia
상실의 땅	Land of Loss
랜드엔드	Lands End
관현악의 땅	La Triah
라임호수	Lime Lake
라임라이트	Limelight
리자드맨의 발톱	Lizardman's claw
리자드맨의_발톱	Lizardman's claw
낮은바람마을	Low Wind Village
정원하층	Lower Garden
러프풋 땅	Lufut Land
루나웨이강	Lunaway River
루나웨이 습지대	Lunaway Swamp
러스트뷰린산	Lustbiurin Mountain
마스트코트	Mastcot
멜기노 산맥	Melgino Mountains
멤브레덴	Membreathen
멤브레덴 입구	Membreathen Entrance
추모자의 방	Memorial Chamber
기억의언덕	Memory Hill
상인의 계곡	Merchant Valley
메테오라	Meteora
작열의 동굴 2층	Miasma Cave 1st Floor
작열의 동굴 2층 입구	Miasma Cave 1st Floor Entrance
작열의_동굴_2층_입구	Miasma Cave 1st Floor Entrance
작열의_동굴_2층_출구	Miasma Cave 1st Floor Exit
작열의 동굴 1층	Miasma Cave Ground Floor
작열의 동굴 1층 입구	Miasma Cave Ground Floor Entrance
작열의_동굴_1층_입구	Miasma Cave Ground Floor Entrance
작열의 동굴 1층 출구	Miasma Cave Ground Floor Exit
작열의_동굴_1층_출구	Miasma Cave Ground Floor Exit
크랩터폰	Midok
기후지도	Milieu
기후제의 땅	Milieu island
광산 입구	Mine Entrance
광산_입구	Mine Entrance
광산 마을	Mine Village
광산_마을	Mine Village
광산마을	Mine Village
기적의샘	Miracle Fountain
미라지안 호수	Mirasian Lake
싱잉레인	Mist Plain
모라비아요새	Morabia Fortress
모르트수로	Mort Waterway
음악관	Music Hall
숨죽인 유적	Muted Site
나르캉골 산맥	Narkangol Mountains
악몽의 골짜기	Nightmare Valley
노블하임산맥	Noblehaim Mountains
녹턴야드	Nocturn Yard
노린	Norine
배틀게이트 노린	Norine Battlegate 
노린 마을	Norine Village
델파라스 북부	North Delfaras
범프필드 북쪽	Northern Ridge Field 
북쪽땅의 사원	Northern Temple 
노르톱 마을	Nortop Village
노르톱마을	Nortop Village
오우거마을	Ogre Village
올드캐빈	Old Cabin
집시들의 옛터	Old Gypsy Town
옛항구터	Old Harbor
오래된 광산	Old Mine
오래된_광산	Old Mine
오래된 광산 2층 입구	Old Mine 1st Floor Entrance
오래된_광산_2층_입구	Old Mine 1st Floor Entrance
오래된 광산 2층 출구	Old Mine 1st Floor Exit
오래된_광산_2층_출구	Old Mine 1st Floor Exit
오래된 광산 3층 입구	Old Mine 2nd Floor Entrance
오래된_광산_3층_입구	Old Mine 2nd Floor Entrance
오래된_광산_3층_출구	Old Mine 2nd Floor Exit
오래된 광산 입구	Old Mine Entrance
오래된_광산_입구	Old Mine Entrance
오래된 광산 출구	Old Mine Exit
오래된_광산_출구	Old Mine Exit
오래된 광산 1층 입구	Old Mine Ground Floor Entrance
오래된 광산 1층 출구	Old Mine Ground Floor Exit
오드오브	Old Orb
낡은 창고	Old Storehouse
옛사원 터	Old Temple 
오아실리안	Orsilian
오르하협곡	Oruha Canyon
오르하협곡 입구	Oruha Canyon Entrance
판다람고원	Pandaram Plateau
출전의 길	Path of Entry
영광의 길	Path of Glory
열사의 한계	Patriot's Limit
추적자고원	Persuer Plateau
개척자의 길	Pioneer's Road
왕자의 사냥터	Prince's Hunting Field
포박의 방	Prison Chamber
금지된 광산	Prohibited Mine
울림의 늪지	Quake Zone
퀄트천막촌	Qualt Camp
사자의 여왕	Queen of Lion
여왕의서식지	Queen's Habitat
레비나일 강	Rabinile River
레비나일강 	Rabinile River
레비나일강입구	Rabinile River Entrance
레인라이크	Rainreich
붉은 자갈길	Red Stone Road
레더후드	Redderhood
렌스피어 성	Rensphere Castle
렌스피어 성 인근	Rensphere Castle Vicinity
렌스피어 동쪽	Rensphere Eastern Area
렌스피어 외성	Rensphere External Castle
렌스피어 내부	Rensphere Inside
렌스피어 내성	Rensphere Internal Castle
렌스피어 남쪽	Rensphere Southern Area
렌스피어 서쪽	Rensphere Western Area
렌즈론	Rensron
원정대의 길	Road of Expedition
환희의 길	Road of Joy
이름없는 자들의 방	Room of the Nameless Ones
완곡의 봉우리	Round Peak
루아아라	Rualala 
루클리아 아메	Rucklia Amae
사라미스 정원	Salarmis Garden
사라미스의 정원	Salarmis Garden
흐르는 모래 길	Sand Road
정찰자의 터	Scouter Site
봉인된 광산 2층	Sealed Mine 1st Floor 
봉인된 광산 2층 입구	Sealed Mine 1st Floor Entrance
봉인된 광산 3층	Sealed Mine 2nd Floor
봉인된 광산 3층 입구	Sealed Mine 2nd Floor
봉인된 광산 1층	Sealed Mine Ground Floor
봉인된 광산 1층 입구	Sealed Mine Ground Floor Entrance
비밀의 사원	Secret Temple
오래된 천막촌	Settlers Camp
그림자무덤	Shadow Grave
쉬버스	Sheerbus
아지랑이물가	Shimmerside
샤인우드	Shinewood
쉽헤드해안	Shiphead Seashore
셤프마을	Shump Village
공성지역	Siege Zone
실란시움	Silancium
침묵의숲	Silent Forest
노래버섯지대	Singing Mushroom
시로코고 천문관측소	Sirokogo Observatory
공중 다리	Sky Bridge
공중_다리	Sky Bridge
공중다리	Sky Bridge
공중감옥	Sky Prison
솔시드산맥	Solcid Mountains
솔시드석조	Solcid Sunset
혼돈의 소로	Soro of Chaos
진혼사원	Soul Temple
셤프마을 남쪽	South of Shump Village
남쪽땅의 사원	Southern Temple
환희의 포자 지대	Spores of Joy
승화의 계단	Stairs of Sublimation
공명바위	Stone of Justice
스톰로드	Storm Road
스톰하이드산맥	Stormhide Mountains
여름해변	Summer Beach
일출의 해변	Sunrise Beach
습지대 입구	Swamp Entrance
타부토촌	Tabuto Village
탈론 야드	Talon Yard
탈론_야드	Talon Yard
탈론야드	Talon Yard
타스의 숲	Tas Forest
시간의 사당	Temple of Time
십년사막	Ten Year Desert
테라노아	Terranoa
테라노아 베틀게이트	Terranoa Battlegate
테라토가 산맥	Terratoga Mountains
납골당	The Crypt
그루터기	The Great Stump
쐐기삼각지	The Span
오래된 땅	Thistle Vale
시간이정지한 곳	Time Warp Area
시간이정지한 곳	Time Warp Area
틴텔의 북	Tintel's Book
죽은자의 무덤	Tomb of the Dead
죽은자의_무덤	Tomb of the Dead
죽은 자의 무덤 2층	Tomb of the Dead 1st Floor
죽은자의 무덤 2층	Tomb of the Dead 1st Floor
죽은 자의 무덤 2층 입구	Tomb of the Dead 1st Floor Entrance
죽은_자의_무덤_2층_입구	Tomb of the Dead 1st Floor Entrance
죽은자의 무덤 2층 입구	Tomb of the Dead 1st Floor Entrance
죽은 자의 무덤 2층 출구	Tomb of the Dead 1st Floor Exit
죽은_자의_무덤_2층_출구	Tomb of the Dead 1st Floor Exit
죽은 자의 무덤 3층	Tomb of the Dead 2nd Floor
죽은자의 무덤 3층	Tomb of the Dead 2nd Floor
죽은 자의 무덤 3층 입구	Tomb of the Dead 2nd Floor Entrance
죽은_자의_무덤_3층_입구	Tomb of the Dead 2nd Floor Entrance
죽은자의 무덤 3층 입구	Tomb of the Dead 2nd Floor Entrance
죽은_자의_무덤_3층_출구	Tomb of the Dead 2nd Floor Exit
죽은 자의 무덤 입구	Tomb of the Dead Entrance
죽은_자의_무덤_입구	Tomb of the Dead Entrance
죽은 자의 무덤 출구	Tomb of the Dead Exit
죽은_자의_무덤_출구	Tomb of the Dead Exit
죽은 자의 무덤 1층	Tomb of the Dead Ground Floor
죽은자의  무덤 1층	Tomb of the Dead Ground Floor
죽은자의 무덤 1층	Tomb of the Dead Ground Floor
죽은_자의_무덤_1층_입구	Tomb of the Dead Ground Floor Entrance
죽은자의 무덤 1층 입구	Tomb of the Dead Ground Floor Entrance
죽은 자의 무덤 1층 출구	Tomb of the Dead Ground Floor Exit
죽은_자의_무덤_1층_출구	Tomb of the Dead Ground Floor Exit
죽은자의 무덤 1층 출구	Tomb of the Dead Ground Floor Exit
행복한 묘지	Tomb of Tranquillity
토르 요새	Tor Fortress
토르요새	Tor Fortress
배틀게이트 토르요새	Tor Fortress Battlegate 
트라쿠아 성	Traqua Castle
트라쿠아 성 내부	Traqua Castle Inside
트라쿠아 성 성주 사냥터	Traqua Castle Secret Dungeon
트라쿠아 성 인근	Traqua Castle Vicinity
트라쿠아 외성문	Traqua External Gate
트라쿠아 내부	Traqua Inside
트라쿠아 내성문	Traqua Internal Gate
트라쿠아 렌스피어 입구	Traqua Rensphere Entrance
트라쿠아 성주 사냥터	Traqua Secret Dungeon
삼각 마을	Triangle Village
삼각마을	Triangle Village
트라이부츠	Triboots
트릴가드	Trilgard
배틀게이트 트릴가드	Trilgard Battlegate 
도시 트릴가드	Trilgard City
트릴가드 북시가지	Trilgard North Town
트릴가드 남시가지	Trilgard South Town
트릴가드 광장	Trilgard Square
툴란	Tullan
배틀게이트 툴란	Tullan Battlegate 
도시 툴란	Tullan City
툴란 동시가지	Tullan East Town
툴란 광장	Tullan Square
툴란 서시가지	Tullan West Town
이름없는 무덤	Unmarked Grave
이름없는_무덤	Unmarked Grave
이름 없는 무덤 2층	Unmarked Grave 1st Floor
이름없는 무덤 2층	Unmarked Grave 1st Floor
이름없는 무덤 2층 입구	Unmarked Grave 1st Floor Entrance
이름없는_무덤_2층_입구	Unmarked Grave 1st Floor Entrance
이름없는 무덤 2층 출구	Unmarked Grave 1st Floor Exit
이름없는_무덤_2층_출구	Unmarked Grave 1st Floor Exit
이름 없는 무덤 2층출구	Unmarked Grave 1st Floor Exit
이름 없는 무덤 2층입구	Unmarked Grave 1st Floor Entrance
이름 없는 무덤 3층	Unmarked Grave 2nd Floor
이름없는 무덤 3층	Unmarked Grave 2nd Floor
이름없는 무덤 3층 입구	Unmarked Grave 2nd Floor Entrance
이름없는_무덤_3층_입구	Unmarked Grave 2nd Floor Entrance
이름없는_무덤_3층_출구	Unmarked Grave 2nd Floor Exit
이름없는 무덤 입구	Unmarked Grave Entrance
이름없는_무덤_입구	Unmarked Grave Entrance
이름없는 무덤 출구	Unmarked Grave Exit
이름없는_무덤_출구	Unmarked Grave Exit
이름 없는 무덤 1층	Unmarked Grave Ground Floor
이름없는 무덤 1층	Unmarked Grave Ground Floor
이름없는 무덤 1층 입구	Unmarked Grave Ground Floor Entrance
이름없는 무덤 1층 출구	Unmarked Grave Ground Floor Exit
이름없는_무덤_1층_출구	Unmarked Grave Ground Floor Exit
정원상층	Upper Garden
우르트람강	Urtram River
발브르언덕	Valbur Hill
절규의 계곡	Valley of Screams
뱀파이어 마을	Vampire Village
뱀파이어_마을	Vampire Village
뱀파이어마을	Vampire Village
복수의 방	Vengeance Chamber
원혼의 분지	Vengeful Basin
원혼의 분지입구	Vengeful Basin Entrance
베르아크분지	Verark Basin
비고로르	Vigorore
휴식의 천막촌	Village of Rest
가짜마적촌	Village of the Shadows
땅끝해안	Viper Beach
방문자의 숲	Visitor's Forest
방랑자평야	Wanderer Plain
전사의 평지	Warrior Plain
용병마을	Warrior Village
전사의 다리	Warrior's Bridge
퍼피필드	Wasteland
물의 길	Water Road
파도 사구	Wave Dune
하얀숲	White Forest
바람평원	Wind Plain
바람의 계곡	Wind Valley
윈드릴	Windrill
윈드릴의 동쪽 입구	Windrill Eastern Entrance
