monster_name	monster_TID	item_count	item_TID	min	max	percent
라지 포이즌 모스	1026	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
빅 포이즌 모스	1027	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
트롤두목	34	2	5007	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
바롬	50	2	5007	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
후카룽	623	2	5007	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
릴린	66	2	5007	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
프린스 아리엔	658	2	5007	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
와이번	38	2	5011	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
우루	47	2	5011	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
다크 윙	1347	2	5011	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
아랄만 호위병	1348	2	5011	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
아랄만 병사	1349	2	5011	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
아랄만	1350	2	5011	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
볼코	60	2	5009	1	1	30
			5019	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
비글로스	765	2	5009	1	1	30
			5019	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
리디나	1324	2	5009	1	1	30
			5019	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
레체	1325	2	5009	1	1	30
			5019	1	1	30
			1857	1	1	500
			1862	1	1	500
			1892	1	1	500
			1867	1	1	500
			1872	1	1	500
			1877	1	1	500
			1882	1	1	500
			1887	1	1	500
			6076	1	1	500
티카	63	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
다릴라	774	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
막소	67	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
블리져스	624	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
스켈레톤 지휘관	76	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
실버 라이칸토	622	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
밴딜리언 보스	484	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
빅토르	42	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
윈디고	43	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
보스 사무엘	618	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
빅박스	788	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
잉고	95	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
워터바이퍼	117	1	5005	1	1	30
			5026	1	1	30
파이어윙	62	1	5005	1	1	30
			5026	1	1	30
바시바	88	1	5005	1	1	30
			5026	1	1	30
스켈레톤 속사수	122	2	5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
파이어 라이칸토	331	2	5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
도버	64	2	5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
리버고블린 정찰자	126	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
비씰	58	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
아니엘	619	2	5006	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
켄들베어	127	2	5007	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
그린드래곤 시드	457	2	5007	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
브론즈드래곤 시드	16	2	5007	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
플라잉 볼텍스	512	2	5007	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
본드래곤	636	2	5007	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
다르탄	638	2	5007	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
아라크노이드 퀸	193	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
초록 독나방	324	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
포스토	44	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
보링	45	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
퀸 피리아네스	629	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
샤콘	663	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
서킷오더	196	1	5024	1	1	45
			4801	1	1	3750
			4800	1	1	5000
베노민	366	1	5024	1	1	60
			4801	1	1	800
절망의 지배자	197	2	5014	1	1	30
			5024	1	1	30
질풍의 발톱	201	2	5014	1	1	30
			5024	1	1	30
클럭워크	1393	2	5014	1	1	60
			5024	1	1	60
			4801	1	1	1600
			4800	1	1	2500
파멸의 비늘	205	1	5013	1	1	30
섀도우 맨	226	1	5013	1	1	30
아라크노이드 포이즌	273	2	5008	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
바람멧돼지 임프	124	2	5008	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
뭇소르	706	2	5008	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
윈드멤프시	653	2	5008	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
고스	59	2	5008	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
고블린 추장	275	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
화염 박쥐	128	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
놀 대왕	481	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
폴고	21	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
시로로	25	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
샤칸	615	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
기프트	682	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
캡틴 팩	271	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
차크돌	270	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
타마라이	842	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
스펠 웨어울프	298	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
타라반	15	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
롯소 만티코어	1082	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
뮤라 퀸	1085	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
달타 만티코어	1083	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
로테 퀸	1086	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
룬 만티코어	1084	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
시링 퀸	1087	2	5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
리자드맨 로드	301	2	5006	1	1	30
			5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
브로큰 가디언	516	2	5006	1	1	30
			5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
레드사인	306	2	5006	1	1	30
			5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
리로드	312	2	5006	1	1	30
			5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
에베루	693	2	5006	1	1	30
			5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
사판	92	2	5006	1	1	30
			5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
플레임베어	307	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
도적 돌격병	281	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
포이즌 스파이더	983	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
벳 케이즐	986	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
거대 거미 기사	984	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
동굴 박쥐 대장	987	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
바비라그 천인대장	985	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
노르겐 로드	988	2	5007	1	1	30
			5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
가고일 볼트	309	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
마법박쥐 리더	194	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
볼가	770	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
스톤이터	311	2	5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
토탈 브로큰	485	2	5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
카이잔	620	2	5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
라지풋	695	2	5027	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
로키	329	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
록픽	455	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
슬럼	680	2	5005	1	1	30
			5028	1	1	30
			1855	1	1	500
			1860	1	1	500
			1890	1	1	500
			1865	1	1	500
			1870	1	1	500
			1875	1	1	500
			1880	1	1	500
			1885	1	1	500
			6074	1	1	500
홉고블린 족장	334	2	5019	1	1	30
			5009	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
