96																			
LV	STR	Dex	CON	WIS	INT	CHA	MAX HP	MAX MP	MAX SP	MAX AC	MAX AR	MAX DR	FIRE	WATER	EARTH	AIR	MAGIC	MIN DMG	MAX DMG
101	457	374	342	112	192	0	2736	603	2014	8	0	0	0	0	0	0	0	0	0
102	463	380	347	114	194	0	2776	614	2046	8	0	0	0	0	0	0	0	0	0
103	470	385	352	115	197	0	2816	619	2073	9	0	0	0	0	0	0	0	0	0
104	476	390	356	117	200	0	2848	630	2100	9	0	0	0	0	0	0	0	0	0
105	483	396	361	118	203	0	2888	635	2132	9	0	0	0	0	0	0	0	0	0
106	489	401	366	120	205	0	2928	646	2159	9	0	0	0	0	0	0	0	0	0
107	496	406	371	121	208	0	2968	652	2186	9	0	0	0	0	0	0	0	0	0
108	502	412	376	123	211	0	3008	662	2218	9	0	0	0	0	0	0	0	0	0
109	509	417	381	125	214	0	3048	673	2245	9	0	0	0	0	0	0	0	0	0
110	515	423	386	126	216	0	3088	678	2278	9	0	0	0	0	0	0	0	0	0
111	522	428	391	128	219	0	3128	689	2305	9	0	0	0	0	0	0	0	0	0
112	529	434	396	129	222	0	3168	695	2337	9	0	0	0	0	0	0	0	0	0
113	536	439	401	131	225	0	3208	705	2364	9	0	0	0	0	0	0	0	0	0
114	542	445	406	133	228	0	3248	716	2396	9	0	0	0	0	0	0	0	0	0
115	549	451	411	134	231	0	3288	722	2428	9	0	0	0	0	0	0	0	0	0
116	556	456	416	136	233	0	3328	732	2455	10	0	0	0	0	0	0	0	0	0
117	563	462	421	138	236	0	3368	743	2488	10	0	0	0	0	0	0	0	0	0
118	570	467	426	139	239	0	3408	748	2515	10	0	0	0	0	0	0	0	0	0
119	577	473	431	141	242	0	3448	759	2547	10	0	0	0	0	0	0	0	0	0
120	583	479	436	143	245	0	3488	770	2579	10	0	0	0	0	0	0	0	0	0
121	590	485	441	144	248	0	3528	775	2612	10	0	0	0	0	0	0	0	0	0
1																			
LV	STR	Dex	CON	WIS	INT	CHA	MAX HP	MAX MP	MAX SP	MAX AC	MAX AR	MAX DR	FIRE	WATER	EARTH	AIR	MAGIC	MIN DMG	MAX DMG
1	11	17	10	9	9	0	80	48	92	2	0	0	0	0	0	0	0	0	0
2	12	18	11	9	9	0	88	48	97	2	0	0	0	0	0	0	0	0	0
3	13	19	12	10	10	0	96	54	102	2	0	0	0	0	0	0	0	0	0
4	14	21	12	10	10	0	96	54	113	2	0	0	0	0	0	0	0	0	0
5	15	22	13	10	11	0	104	54	118	2	0	0	0	0	0	0	0	0	0
6	16	24	14	11	11	0	112	59	129	2	0	0	0	0	0	0	0	0	0
7	18	26	15	11	12	0	120	59	140	2	0	0	0	0	0	0	0	0	0
8	19	28	17	12	13	0	136	65	151	2	0	0	0	0	0	0	0	0	0
9	20	30	18	12	13	0	144	65	162	2	0	0	0	0	0	0	0	0	0
10	22	32	19	13	14	0	152	70	172	2	0	0	0	0	0	0	0	0	0
11	24	34	21	13	15	0	168	70	183	2	0	0	0	0	0	0	0	0	0
12	25	36	22	14	16	0	176	75	194	2	0	0	0	0	0	0	0	0	0
13	27	38	23	14	16	0	184	75	205	2	0	0	0	0	0	0	0	0	0
14	29	41	25	15	17	0	200	81	221	2	0	0	0	0	0	0	0	0	0
15	31	44	27	15	18	0	216	81	237	2	0	0	0	0	0	0	0	0	0
16	33	46	28	16	19	0	224	86	248	3	0	0	0	0	0	0	0	0	0
17	35	49	30	17	20	0	240	92	264	3	0	0	0	0	0	0	0	0	0
18	37	52	32	17	21	0	256	92	280	3	0	0	0	0	0	0	0	0	0
19	39	55	34	18	22	0	272	97	296	3	0	0	0	0	0	0	0	0	0
20	41	57	35	19	23	0	280	102	307	3	0	0	0	0	0	0	0	0	0
21	44	60	37	20	24	0	296	108	323	3	0	0	0	0	0	0	0	0	0
22	46	64	39	20	25	0	312	108	345	3	0	0	0	0	0	0	0	0	0
23	48	67	41	21	26	0	328	113	361	3	0	0	0	0	0	0	0	0	0
24	51	70	43	22	27	0	344	118	377	3	0	0	0	0	0	0	0	0	0
25	53	73	45	23	28	0	360	124	393	3	0	0	0	0	0	0	0	0	0
26	56	77	47	23	29	0	376	124	415	3	0	0	0	0	0	0	0	0	0
27	58	80	49	24	31	0	392	129	431	3	0	0	0	0	0	0	0	0	0
28	61	83	52	25	32	0	416	135	447	3	0	0	0	0	0	0	0	0	0
29	64	87	54	26	33	0	432	140	468	3	0	0	0	0	0	0	0	0	0
30	66	90	56	27	34	0	448	145	485	3	0	0	0	0	0	0	0	0	0
31	69	94	58	28	35	0	464	151	506	3	0	0	0	0	0	0	0	0	0
32	72	98	61	29	37	0	488	156	528	3	0	0	0	0	0	0	0	0	0
33	75	101	63	29	38	0	504	156	544	3	0	0	0	0	0	0	0	0	0
34	77	105	65	30	39	0	520	162	565	3	0	0	0	0	0	0	0	0	0
35	80	109	68	31	41	0	544	167	587	3	0	0	0	0	0	0	0	0	0
36	83	113	70	32	42	0	560	172	608	3	0	0	0	0	0	0	0	0	0
37	86	117	73	33	43	0	584	178	630	3	0	0	0	0	0	0	0	0	0
38	89	121	75	34	45	0	600	183	652	3	0	0	0	0	0	0	0	0	0
39	92	125	78	35	46	0	624	188	673	3	0	0	0	0	0	0	0	0	0
40	95	129	80	36	48	0	640	194	695	4	0	0	0	0	0	0	0	0	0
41	98	133	83	37	49	0	664	199	716	4	0	0	0	0	0	0	0	0	0
42	102	137	85	38	50	0	680	205	738	4	0	0	0	0	0	0	0	0	0
43	105	142	88	39	52	0	704	210	765	4	0	0	0	0	0	0	0	0	0
44	108	146	91	40	53	0	728	215	786	4	0	0	0	0	0	0	0	0	0
45	111	150	93	41	55	0	744	221	808	4	0	0	0	0	0	0	0	0	0
46	115	155	96	42	56	0	768	226	835	4	0	0	0	0	0	0	0	0	0
47	118	159	99	43	58	0	792	232	856	4	0	0	0	0	0	0	0	0	0
48	121	164	102	45	59	0	816	242	883	4	0	0	0	0	0	0	0	0	0
49	125	168	105	46	61	0	840	248	905	4	0	0	0	0	0	0	0	0	0
50	128	173	107	47	62	0	856	253	932	4	0	0	0	0	0	0	0	0	0
51	132	177	110	48	64	0	880	258	953	4	0	0	0	0	0	0	0	0	0
52	135	182	113	49	66	0	904	264	980	4	0	0	0	0	0	0	0	0	0
53	139	187	116	50	67	0	928	269	1007	4	0	0	0	0	0	0	0	0	0
54	142	191	119	51	69	0	952	275	1028	4	0	0	0	0	0	0	0	0	0
55	146	196	122	52	70	0	976	280	1055	4	0	0	0	0	0	0	0	0	0
56	149	201	125	54	72	0	1000	291	1082	4	0	0	0	0	0	0	0	0	0
57	153	206	128	55	74	0	1024	296	1109	4	0	0	0	0	0	0	0	0	0
58	157	211	131	56	75	0	1048	302	1136	4	0	0	0	0	0	0	0	0	0
59	160	215	134	57	77	0	1072	307	1158	5	0	0	0	0	0	0	0	0	0
60	164	220	137	58	79	0	1096	312	1185	5	0	0	0	0	0	0	0	0	0
61	168	225	141	60	81	0	1128	323	1212	5	0	0	0	0	0	0	0	0	0
62	172	231	144	61	82	0	1152	328	1244	5	0	0	0	0	0	0	0	0	0
63	175	236	147	62	84	0	1176	334	1271	5	0	0	0	0	0	0	0	0	0
64	179	241	150	63	86	0	1200	339	1298	5	0	0	0	0	0	0	0	0	0
65	183	246	153	64	88	0	1224	345	1325	5	0	0	0	0	0	0	0	0	0
66	187	251	157	66	89	0	1256	355	1352	5	0	0	0	0	0	0	0	0	0
67	191	256	160	67	91	0	1280	361	1378	5	0	0	0	0	0	0	0	0	0
68	195	262	163	68	93	0	1304	366	1411	5	0	0	0	0	0	0	0	0	0
69	199	267	166	70	95	0	1328	377	1438	5	0	0	0	0	0	0	0	0	0
70	203	272	170	71	97	0	1360	382	1465	5	0	0	0	0	0	0	0	0	0
71	207	278	173	72	98	0	1384	388	1497	5	0	0	0	0	0	0	0	0	0
72	211	283	177	73	100	0	1416	393	1524	5	0	0	0	0	0	0	0	0	0
73	215	288	180	75	102	0	1440	404	1551	5	0	0	0	0	0	0	0	0	0
74	219	294	183	76	104	0	1464	409	1583	5	0	0	0	0	0	0	0	0	0
75	224	299	187	77	106	0	1496	415	1610	5	0	0	0	0	0	0	0	0	0
76	228	305	190	79	108	0	1520	425	1642	5	0	0	0	0	0	0	0	0	0
77	232	311	194	80	110	0	1552	431	1675	5	0	0	0	0	0	0	0	0	0
78	236	316	197	82	112	0	1576	442	1702	5	0	0	0	0	0	0	0	0	0
79	240	322	201	83	114	0	1608	447	1734	5	0	0	0	0	0	0	0	0	0
80	245	328	204	84	116	0	1632	452	1766	5	0	0	0	0	0	0	0	0	0
81	249	333	208	86	118	0	1664	463	1793	5	0	0	0	0	0	0	0	0	0
82	253	339	212	87	120	0	1696	468	1825	5	0	0	0	0	0	0	0	0	0
83	258	345	215	88	122	0	1720	474	1858	5	0	0	0	0	0	0	0	0	0
84	262	351	219	90	124	0	1752	485	1890	5	0	0	0	0	0	0	0	0	0
85	266	357	223	91	126	0	1784	490	1922	5	0	0	0	0	0	0	0	0	0
86	271	362	226	93	128	0	1808	501	1949	5	0	0	0	0	0	0	0	0	0
87	275	368	230	94	130	0	1840	506	1982	5	0	0	0	0	0	0	0	0	0
88	280	374	234	96	132	0	1872	517	2014	5	0	0	0	0	0	0	0	0	0
89	284	380	237	97	134	0	1896	522	2046	5	0	0	0	0	0	0	0	0	0
90	289	386	241	99	136	0	1928	533	2078	6	0	0	0	0	0	0	0	0	0
91	293	392	245	100	138	0	1960	538	2111	6	0	0	0	0	0	0	0	0	0
92	298	398	249	101	140	0	1992	544	2143	6	0	0	0	0	0	0	0	0	0
93	303	405	253	103	142	0	2024	555	2181	6	0	0	0	0	0	0	0	0	0
94	307	411	257	104	144	0	2056	560	2213	6	0	0	0	0	0	0	0	0	0
95	312	417	260	106	146	0	2080	571	2245	6	0	0	0	0	0	0	0	0	0
96	317	423	264	107	148	0	2112	576	2278	6	0	0	0	0	0	0	0	0	0
97	321	429	268	109	151	0	2144	587	2310	6	0	0	0	0	0	0	0	0	0
98	326	436	272	110	153	0	2176	592	2348	6	0	0	0	0	0	0	0	0	0
99	331	442	276	112	155	0	2208	603	2380	6	0	0	0	0	0	0	0	0	0
100	335	448	280	114	157	0	2240	614	2412	6	0	0	0	0	0	0	0	0	0
101	340	454	284	115	159	0	2272	619	2445	6	0	0	0	0	0	0	0	0	0
102	345	461	288	117	161	0	2304	630	2482	6	0	0	0	0	0	0	0	0	0
103	350	467	292	118	164	0	2336	635	2515	7	0	0	0	0	0	0	0	0	0
104	355	474	296	120	166	0	2368	646	2552	7	0	0	0	0	0	0	0	0	0
105	360	480	300	121	168	0	2400	652	2585	7	0	0	0	0	0	0	0	0	0
106	364	487	304	123	170	0	2432	662	2622	7	0	0	0	0	0	0	0	0	0
107	369	493	308	124	173	0	2464	668	2655	7	0	0	0	0	0	0	0	0	0
108	374	500	312	126	175	0	2496	678	2692	7	0	0	0	0	0	0	0	0	0
109	379	506	316	128	177	0	2528	689	2725	7	0	0	0	0	0	0	0	0	0
110	384	513	321	129	179	0	2568	695	2762	7	0	0	0	0	0	0	0	0	0
111	389	520	325	131	182	0	2600	705	2800	7	0	0	0	0	0	0	0	0	0
112	394	526	329	132	184	0	2632	711	2832	7	0	0	0	0	0	0	0	0	0
113	399	533	333	134	186	0	2664	722	2870	7	0	0	0	0	0	0	0	0	0
114	404	540	337	136	189	0	2696	732	2908	7	0	0	0	0	0	0	0	0	0
115	409	546	342	137	191	0	2736	738	2940	7	0	0	0	0	0	0	0	0	0
116	415	553	346	139	193	0	2768	748	2978	8	0	0	0	0	0	0	0	0	0
117	420	560	350	141	196	0	2800	759	3015	8	0	0	0	0	0	0	0	0	0
118	425	567	354	142	198	0	2832	765	3053	8	0	0	0	0	0	0	0	0	0
119	430	574	359	144	200	0	2872	775	3091	8	0	0	0	0	0	0	0	0	0
120	435	581	363	146	203	0	2904	786	3128	8	0	0	0	0	0	0	0	0	0
121	440	588	367	147	205	0	2936	792	3166	8	0	0	0	0	0	0	0	0	0
6																			
LV	STR	Dex	CON	WIS	INT	CHA	MAX HP	MAX MP	MAX SP	MAX AC	MAX AR	MAX DR	FIRE	WATER	EARTH	AIR	MAGIC	MIN DMG	MAX DMG
1	8	7	10	15	16	0	80	81	38	2	0	0	0	0	0	0	0	0	0
2	9	8	11	16	16	0	88	86	43	2	0	0	0	0	0	0	0	0	0
3	10	9	11	17	18	0	88	92	48	2	0	0	0	0	0	0	0	0	0
4	11	9	12	18	19	0	96	97	48	2	0	0	0	0	0	0	0	0	0
5	12	10	13	20	20	0	104	108	54	2	0	0	0	0	0	0	0	0	0
6	13	11	14	21	22	0	112	113	59	2	0	0	0	0	0	0	0	0	0
7	14	13	15	23	24	0	120	124	70	2	0	0	0	0	0	0	0	0	0
8	16	14	16	24	26	0	128	129	75	2	0	0	0	0	0	0	0	0	0
9	17	15	17	26	28	0	136	140	81	2	0	0	0	0	0	0	0	0	0
10	19	17	18	28	30	0	144	151	92	2	0	0	0	0	0	0	0	0	0
11	20	18	19	30	32	0	152	162	97	2	0	0	0	0	0	0	0	0	0
12	22	19	20	32	35	0	160	172	102	2	0	0	0	0	0	0	0	0	0
13	24	21	21	34	37	0	168	183	113	2	0	0	0	0	0	0	0	0	0
14	25	23	23	36	40	0	184	194	124	2	0	0	0	0	0	0	0	0	0
15	27	24	24	39	42	0	192	210	129	2	0	0	0	0	0	0	0	0	0
16	29	26	25	41	45	0	200	221	140	2	0	0	0	0	0	0	0	0	0
17	31	28	27	43	48	0	216	232	151	2	0	0	0	0	0	0	0	0	0
18	33	30	28	46	50	0	224	248	162	2	0	0	0	0	0	0	0	0	0
19	35	31	30	49	53	0	240	264	167	2	0	0	0	0	0	0	0	0	0
20	37	33	32	51	56	0	256	275	178	2	0	0	0	0	0	0	0	0	0
21	39	35	33	54	59	0	264	291	188	2	0	0	0	0	0	0	0	0	0
22	42	37	35	57	63	0	280	307	199	2	0	0	0	0	0	0	0	0	0
23	44	39	36	59	66	0	288	318	210	2	0	0	0	0	0	0	0	0	0
24	46	41	38	62	69	0	304	334	221	2	0	0	0	0	0	0	0	0	0
25	49	44	40	65	72	0	320	350	237	2	0	0	0	0	0	0	0	0	0
26	51	46	42	68	76	0	336	366	248	2	0	0	0	0	0	0	0	0	0
27	54	48	43	71	79	0	344	382	258	2	0	0	0	0	0	0	0	0	0
28	56	50	45	74	83	0	360	398	269	2	0	0	0	0	0	0	0	0	0
29	59	53	47	77	86	0	376	415	285	2	0	0	0	0	0	0	0	0	0
30	61	55	49	81	90	0	392	436	296	2	0	0	0	0	0	0	0	0	0
31	64	57	51	84	94	0	408	452	307	2	0	0	0	0	0	0	0	0	0
32	66	60	53	87	98	0	424	468	323	2	0	0	0	0	0	0	0	0	0
33	69	62	55	90	101	0	440	485	334	2	0	0	0	0	0	0	0	0	0
34	72	65	57	94	105	0	456	506	350	2	0	0	0	0	0	0	0	0	0
35	75	67	59	97	109	0	472	522	361	2	0	0	0	0	0	0	0	0	0
36	78	70	61	101	113	0	488	544	377	2	0	0	0	0	0	0	0	0	0
37	80	72	63	104	117	0	504	560	388	2	0	0	0	0	0	0	0	0	0
38	83	75	65	108	121	0	520	582	404	2	0	0	0	0	0	0	0	0	0
39	86	77	67	111	126	0	536	598	415	2	0	0	0	0	0	0	0	0	0
40	89	80	70	115	130	0	560	619	431	3	0	0	0	0	0	0	0	0	0
41	92	83	72	119	134	0	576	641	447	3	0	0	0	0	0	0	0	0	0
42	95	85	74	123	138	0	592	662	458	3	0	0	0	0	0	0	0	0	0
43	98	88	76	126	143	0	608	678	474	3	0	0	0	0	0	0	0	0	0
44	101	91	79	130	147	0	632	700	490	3	0	0	0	0	0	0	0	0	0
45	105	94	81	134	151	0	648	722	506	3	0	0	0	0	0	0	0	0	0
46	108	97	83	138	156	0	664	743	522	3	0	0	0	0	0	0	0	0	0
47	111	100	85	142	160	0	680	765	538	3	0	0	0	0	0	0	0	0	0
48	114	102	88	146	165	0	704	786	549	3	0	0	0	0	0	0	0	0	0
49	117	105	90	150	170	0	720	808	565	3	0	0	0	0	0	0	0	0	0
50	121	108	93	154	174	0	744	829	582	3	0	0	0	0	0	0	0	0	0
51	124	111	95	158	179	0	760	851	598	3	0	0	0	0	0	0	0	0	0
52	127	114	98	162	184	0	784	872	614	3	0	0	0	0	0	0	0	0	0
53	131	117	100	166	188	0	800	894	630	3	0	0	0	0	0	0	0	0	0
54	134	121	103	171	193	0	824	921	652	3	0	0	0	0	0	0	0	0	0
55	138	124	105	175	198	0	840	942	668	3	0	0	0	0	0	0	0	0	0
56	141	127	108	179	203	0	864	964	684	3	0	0	0	0	0	0	0	0	0
57	145	130	110	183	208	0	880	985	700	3	0	0	0	0	0	0	0	0	0
58	148	133	113	188	213	0	904	1012	716	3	0	0	0	0	0	0	0	0	0
59	152	136	115	192	218	0	920	1034	732	3	0	0	0	0	0	0	0	0	0
60	155	140	118	197	223	0	944	1061	754	3	0	0	0	0	0	0	0	0	0
61	159	143	121	201	228	0	968	1082	770	3	0	0	0	0	0	0	0	0	0
62	163	146	123	206	233	0	984	1109	786	3	0	0	0	0	0	0	0	0	0
63	166	149	126	210	239	0	1008	1131	802	3	0	0	0	0	0	0	0	0	0
64	170	153	129	215	244	0	1032	1158	824	3	0	0	0	0	0	0	0	0	0
65	174	156	132	219	249	0	1056	1179	840	3	0	0	0	0	0	0	0	0	0
66	178	159	134	224	255	0	1072	1206	856	3	0	0	0	0	0	0	0	0	0
67	181	163	137	229	260	0	1096	1233	878	3	0	0	0	0	0	0	0	0	0
68	185	166	140	233	265	0	1120	1255	894	3	0	0	0	0	0	0	0	0	0
69	189	170	143	238	271	0	1144	1282	915	3	0	0	0	0	0	0	0	0	0
70	193	173	146	243	276	0	1168	1308	932	3	0	0	0	0	0	0	0	0	0
71	197	177	148	248	282	0	1184	1335	953	3	0	0	0	0	0	0	0	0	0
72	201	180	151	253	287	0	1208	1362	969	3	0	0	0	0	0	0	0	0	0
73	205	184	154	257	293	0	1232	1384	991	3	0	0	0	0	0	0	0	0	0
74	209	187	157	262	298	0	1256	1411	1007	3	0	0	0	0	0	0	0	0	0
75	213	191	160	267	304	0	1280	1438	1028	4	0	0	0	0	0	0	0	0	0
76	217	195	163	272	310	0	1304	1465	1050	4	0	0	0	0	0	0	0	0	0
77	221	198	166	277	315	0	1328	1492	1066	4	0	0	0	0	0	0	0	0	0
78	225	202	169	282	321	0	1352	1518	1088	4	0	0	0	0	0	0	0	0	0
79	229	206	172	287	327	0	1376	1545	1109	4	0	0	0	0	0	0	0	0	0
80	233	209	175	292	333	0	1400	1572	1125	4	0	0	0	0	0	0	0	0	0
81	237	213	178	297	339	0	1424	1599	1147	4	0	0	0	0	0	0	0	0	0
82	241	217	181	303	345	0	1448	1632	1168	4	0	0	0	0	0	0	0	0	0
83	245	221	184	308	350	0	1472	1658	1190	4	0	0	0	0	0	0	0	0	0
84	250	224	187	313	356	0	1496	1685	1206	4	0	0	0	0	0	0	0	0	0
85	254	228	190	318	362	0	1520	1712	1228	4	0	0	0	0	0	0	0	0	0
86	258	232	194	323	368	0	1552	1739	1249	4	0	0	0	0	0	0	0	0	0
87	262	236	197	329	374	0	1576	1772	1271	4	0	0	0	0	0	0	0	0	0
88	267	240	200	334	381	0	1600	1798	1292	4	0	0	0	0	0	0	0	0	0
89	271	244	203	339	387	0	1624	1825	1314	4	0	0	0	0	0	0	0	0	0
