lottery_box_tid	pot_Item_tid	min_stack	max_stack	percent
4751	4282	1	1	29
4751	4283	1	1	29
4751	4285	1	1	29
4751	4284	1	1	29
4751	4286	1	1	29
4751	4287	1	1	29
4751	4288	1	1	29
4751	4290	1	1	29
4751	4289	1	1	29
4751	4291	1	1	29
4751	4292	1	1	29
4751	4293	1	1	29
4751	4295	1	1	29
4751	4294	1	1	29
4751	4296	1	1	29
4751	4297	1	1	29
4751	4298	1	1	29
4751	5279	1	1	29
4751	5280	1	1	29
4751	5281	1	1	29
4751	5282	1	1	29
4751	5283	1	1	29
4751	4299	1	1	29
4751	4300	1	1	29
4751	4301	1	1	29
4751	4302	1	1	29
4751	4303	1	1	29
4751	4304	1	1	29
4751	4305	1	1	29
4751	4306	1	1	29
4751	4307	1	1	29
4751	4308	1	1	29
4751	4309	1	1	29
4751	4310	1	1	29
4751	4311	1	1	29
4751	4316	1	1	29
4751	4312	1	1	29
4751	4313	1	1	29
4751	4314	1	1	29
4751	4315	1	1	29
4751	4321	1	1	29
4751	4317	1	1	29
4751	4318	1	1	29
4751	4319	1	1	29
4751	4320	1	1	29
4751	4326	1	1	29
4751	4322	1	1	29
4751	4323	1	1	29
4751	4324	1	1	29
4751	4325	1	1	29
4751	4331	1	1	29
4751	4327	1	1	29
4751	4328	1	1	29
4751	4329	1	1	29
4751	4330	1	1	29
4751	4399	1	1	29
4751	4395	1	1	29
4751	4396	1	1	29
4751	4397	1	1	29
4751	4398	1	1	29
4751	5284	1	1	29
4751	5285	1	1	29
4751	5286	1	1	29
4751	5287	1	1	29
4751	5288	1	1	29
4751	4332	1	1	29
4751	4333	1	1	29
4751	4334	1	1	29
4751	4335	1	1	29
4751	4336	1	1	29
4751	4337	1	1	29
4751	4338	1	1	29
4751	4339	1	1	29
4751	4340	1	1	29
4751	4341	1	1	29
4751	4342	1	1	29
4751	4343	1	1	29
4751	4344	1	1	29
4751	4349	1	1	29
4751	4345	1	1	29
4751	4346	1	1	29
4751	4347	1	1	29
4751	4348	1	1	29
4751	4354	1	1	29
4751	4350	1	1	29
4751	4351	1	1	29
4751	4352	1	1	29
4751	4353	1	1	29
4751	4359	1	1	29
4751	4355	1	1	29
4751	4356	1	1	29
4751	4357	1	1	29
4751	4358	1	1	29
4751	4364	1	1	29
4751	4360	1	1	29
4751	4361	1	1	29
4751	4362	1	1	29
4751	4363	1	1	29
4751	4404	1	1	29
4751	4400	1	1	29
4751	4401	1	1	29
4751	4402	1	1	29
4751	4403	1	1	29
4751	5289	1	1	29
4751	5290	1	1	29
4751	5291	1	1	29
4751	5292	1	1	29
4751	5293	1	1	29
4751	nothing	0	0	0
4755	1050	5	10	1500
4755	1053	5	10	1500
4755	1054	1	1	500
4755	617	1	1	1200
4755	614	1	1	1200
4755	610	1	1	1200
4755	607	1	1	1200
4755	604	1	1	1200
4755	486	1	3	500
4755	nothing	0	0	0
4871	486	1	10	1250
4871	4774	40	99	1250
4871	1170	3	7	1250
4871	1173	3	7	1250
4871	464	3	7	1250
4871	472	3	7	1250
4871	617	3	7	1250
4871	601	3	7	1250
4871	nothing	0	0	0
4895	4880	1	1	3334
4895	4893	1	1	3333
4895	4894	1	1	3333
4895	nothing	0	0	0
4887	64	1	1	25
4887	67	1	1	25
4887	68	1	1	25
4887	69	1	1	25
4887	330	1	1	25
4887	333	1	1	25
4887	334	1	1	25
4887	335	1	1	25
4887	2085	1	1	25
4887	2087	1	1	25
4887	2088	1	1	25
4887	2089	1	1	25
4887	2251	1	1	25
4887	2252	1	1	25
4887	2254	1	1	25
4887	2255	1	1	25
4887	2256	1	1	25
4887	2257	1	1	25
4887	2258	1	1	25
4887	2260	1	1	25
4887	2261	1	1	25
4887	2262	1	1	25
4887	2263	1	1	25
4887	2264	1	1	25
4887	2266	1	1	25
4887	2267	1	1	25
4887	2268	1	1	25
4887	2269	1	1	25
4887	2270	1	1	25
4887	2272	1	1	25
4887	2273	1	1	25
4887	2274	1	1	25
4887	3051	1	1	25
4887	3050	1	1	25
4887	3052	1	1	25
4887	3053	1	1	25
4887	3054	1	1	25
4887	3066	1	1	25
4887	3065	1	1	25
4887	3067	1	1	25
4887	3068	1	1	25
4887	3069	1	1	25
4887	5106	1	1	25
4887	5107	1	1	25
4887	5108	1	1	25
4887	5109	1	1	25
4887	5110	1	1	25
4887	2145	1	1	15
4887	2147	1	1	15
4887	2148	1	1	15
4887	2149	1	1	15
4887	2151	1	1	15
4887	2153	1	1	15
4887	2154	1	1	15
4887	2155	1	1	15
4887	2227	1	1	15
4887	2228	1	1	15
4887	2230	1	1	15
4887	2231	1	1	15
4887	2232	1	1	15
4887	2238	1	1	15
4887	2233	1	1	15
4887	2235	1	1	15
4887	2236	1	1	15
4887	2237	1	1	15
4887	2239	1	1	15
4887	2240	1	1	15
4887	2242	1	1	15
4887	2243	1	1	15
4887	2244	1	1	15
4887	2245	1	1	15
4887	2246	1	1	15
4887	2248	1	1	15
4887	2249	1	1	15
4887	2250	1	1	15
4887	3056	1	1	15
4887	3055	1	1	15
4887	3057	1	1	15
4887	3058	1	1	15
4887	3059	1	1	15
4887	3071	1	1	15
4887	3070	1	1	15
4887	3072	1	1	15
4887	3073	1	1	15
4887	3074	1	1	15
4887	5111	1	1	15
4887	5112	1	1	15
4887	5113	1	1	15
4887	5114	1	1	15
4887	5115	1	1	15
4887	5501	1	1	15
4887	5502	1	1	15
4887	5503	1	1	15
4887	5504	1	1	15
4887	5505	1	1	15
4887	4101	1	1	5
4887	4102	1	1	5
4887	4103	1	1	5
4887	4104	1	1	5
4887	4105	1	1	5
4887	4106	1	1	5
4887	4107	1	1	5
4887	4108	1	1	5
4887	4109	1	1	5
4887	4110	1	1	5
4887	4111	1	1	5
4887	4112	1	1	5
4887	4113	1	1	5
4887	4118	1	1	5
4887	4114	1	1	5
4887	4115	1	1	5
4887	4116	1	1	5
4887	4117	1	1	5
4887	4119	1	1	5
4887	4120	1	1	5
4887	4121	1	1	5
4887	4122	1	1	5
4887	4123	1	1	5
4887	4124	1	1	5
4887	4125	1	1	5
4887	4126	1	1	5
4887	4127	1	1	5
4887	4128	1	1	5
4887	4130	1	1	5
4887	4129	1	1	5
4887	4131	1	1	5
4887	4132	1	1	5
4887	4133	1	1	5
4887	4366	1	1	5
4887	4365	1	1	5
4887	4367	1	1	5
4887	4368	1	1	5
4887	4369	1	1	5
4887	5254	1	1	5
4887	5255	1	1	5
4887	5256	1	1	5
4887	5257	1	1	5
4887	5258	1	1	5
4887	5601	1	1	5
4887	5602	1	1	5
4887	5603	1	1	5
4887	5604	1	1	5
4887	5605	1	1	5
4887	1965	1	1	70
4887	488	1	1	70
4887	1045	1	1	70
4887	1896	1	1	70
4887	1898	1	1	70
4887	1900	1	1	70
4887	3201	1	1	70
4887	3204	1	1	70
4887	3207	1	1	70
4887	3210	1	1	70
4887	5222	1	1	70
4887	4001	1	1	15
4887	4002	1	1	15
4887	4003	1	1	15
4887	4004	1	1	15
4887	4005	1	1	15
4887	4006	1	1	15
4887	4007	1	1	15
4887	4008	1	1	15
4887	4584	1	1	15
4887	4585	1	1	15
4887	1895	1	1	15
4887	2221	1	1	15
4887	1897	1	1	15
4887	1899	1	1	15
4887	1901	1	1	15
4887	3202	1	1	15
4887	3205	1	1	15
4887	3208	1	1	15
4887	3211	1	1	15
4887	5223	1	1	15
4887	1902	1	1	50
4887	1903	1	1	50
4887	1904	1	1	50
4887	507	1	1	50
4887	1907	1	1	50
4887	1909	1	1	50
4887	3213	1	1	50
4887	3216	1	1	50
4887	3219	1	1	50
4887	3222	1	1	50
4887	5225	1	1	50
4887	4009	1	1	15
4887	4010	1	1	15
4887	4011	1	1	15
4887	4012	1	1	15
4887	4013	1	1	15
4887	4014	1	1	15
4887	4015	1	1	15
4887	4016	1	1	15
4887	4586	1	1	15
4887	4587	1	1	15
4887	2216	1	1	25
4887	1905	1	1	25
4887	2224	1	1	25
4887	2217	1	1	25
4887	2220	1	1	25
4887	3214	1	1	25
4887	3217	1	1	25
4887	3220	1	1	25
4887	3223	1	1	25
4887	5226	1	1	25
4887	317	1	1	50
4887	514	1	1	50
4887	517	1	1	50
4887	515	1	1	50
4887	518	1	1	50
4887	516	1	1	50
4887	3225	1	1	50
4887	3228	1	1	50
4887	3231	1	1	50
4887	3234	1	1	50
4887	5228	1	1	50
4887	4017	1	1	15
4887	4018	1	1	15
4887	4019	1	1	15
4887	4020	1	1	15
4887	4021	1	1	15
4887	4022	1	1	15
4887	4023	1	1	15
4887	4024	1	1	15
4887	4588	1	1	15
4887	4589	1	1	15
4887	1910	1	1	25
4887	2222	1	1	25
4887	1912	1	1	25
4887	2225	1	1	25
4887	1913	1	1	25
4887	3226	1	1	25
4887	3229	1	1	25
4887	3232	1	1	25
4887	3235	1	1	25
4887	5229	1	1	25
4887	1914	1	1	50
4887	1915	1	1	50
4887	1917	1	1	50
4887	492	1	1	50
4887	1920	1	1	50
4887	1922	1	1	50
4887	3237	1	1	50
4887	3240	1	1	50
4887	3243	1	1	50
4887	3246	1	1	50
4887	5231	1	1	50
4887	4025	1	1	15
4887	4026	1	1	15
4887	4027	1	1	15
4887	4028	1	1	15
4887	4029	1	1	15
4887	4030	1	1	15
4887	4031	1	1	15
4887	4032	1	1	15
4887	4590	1	1	15
4887	4591	1	1	15
4887	1916	1	1	25
4887	1918	1	1	25
4887	1919	1	1	25
4887	1921	1	1	25
4887	1923	1	1	25
4887	3238	1	1	25
4887	3241	1	1	25
4887	3244	1	1	25
4887	3247	1	1	25
4887	5232	1	1	25
4887	1924	1	1	50
4887	1925	1	1	50
4887	1927	1	1	50
4887	1928	1	1	50
4887	1930	1	1	50
4887	1931	1	1	50
4887	3249	1	1	50
4887	3252	1	1	50
4887	3255	1	1	50
4887	3258	1	1	50
4887	5234	1	1	50
4887	4033	1	1	15
4887	4034	1	1	15
4887	4035	1	1	15
4887	4036	1	1	15
4887	4037	1	1	15
4887	4038	1	1	15
4887	4039	1	1	15
4887	4040	1	1	15
4887	4592	1	1	15
4887	4593	1	1	15
4887	1926	1	1	25
4887	2223	1	1	25
4887	1929	1	1	25
4887	2226	1	1	25
4887	1932	1	1	25
4887	3250	1	1	25
4887	3253	1	1	25
4887	3256	1	1	25
4887	3259	1	1	25
4887	5235	1	1	25
4887	464	1	5	10
4887	468	1	5	10
4887	589	1	5	10
4887	592	1	5	10
4887	595	1	5	10
4887	599	1	5	10
4887	470	1	5	10
4887	472	1	5	10
4887	475	1	5	10
4887	481	1	5	10
4887	601	1	5	10
4887	841	1	5	10
4887	1170	1	5	10
4887	1173	1	5	10
4887	604	1	5	10
4887	607	1	5	10
4887	610	1	5	10
4887	614	1	5	10
4887	617	1	5	10
4887	1125	50	99	20
4887	1126	50	99	20
4887	1127	50	99	20
4887	202	1	10	30
4887	244	1	10	20
4887	245	1	10	10
4887	246	1	10	5
4887	200	1	10	30
4887	252	1	10	20
4887	253	1	10	10
4887	254	1	10	5
4887	204	1	10	30
4887	256	1	10	20
4887	257	1	10	10
4887	258	1	10	5
4887	201	1	10	30
4887	260	1	10	20
4887	261	1	10	10
4887	262	1	10	5
4887	203	1	10	30
4887	264	1	10	20
4887	265	1	10	10
4887	266	1	10	5
4887	4772	50	99	10
4887	4773	50	99	10
4887	4774	50	99	10
4887	4778	1	10	10
4887	4779	1	10	10
4887	4780	1	10	10
4887	4781	1	10	10
4887	4782	1	10	10
4887	4783	1	10	10
4887	4784	1	10	10
4887	4785	1	10	10
4887	4786	1	10	10
4887	4787	1	10	10
4887	4788	1	10	10
4887	4789	1	10	10
4887	4790	1	10	10
4887	4791	1	10	10
4887	4792	1	10	10
4887	4793	1	10	10
4887	4794	1	10	10
4887	4795	1	10	10
4887	4796	1	10	10
4887	4797	1	10	10
4887	486	10	20	100
4887	nothing	0	0	0
4896	46	1	1	25
4896	49	1	1	25
4896	50	1	1	25
4896	51	1	1	25
4896	58	1	1	25
4896	61	1	1	25
4896	62	1	1	25
4896	63	1	1	25
4896	2090	1	1	25
4896	2092	1	1	25
4896	2093	1	1	25
4896	2094	1	1	25
4896	2299	1	1	25
4896	2300	1	1	25
4896	2302	1	1	25
4896	2303	1	1	25
4896	2304	1	1	25
4896	2305	1	1	25
4896	2306	1	1	25
4896	2308	1	1	25
4896	2309	1	1	25
4896	2310	1	1	25
4896	2311	1	1	25
4896	2312	1	1	25
4896	2314	1	1	25
4896	2315	1	1	25
4896	2316	1	1	25
4896	2317	1	1	25
4896	2318	1	1	25
4896	2320	1	1	25
4896	2321	1	1	25
4896	2322	1	1	25
4896	3076	1	1	25
4896	3075	1	1	25
4896	3077	1	1	25
4896	3078	1	1	25
4896	3079	1	1	25
4896	3091	1	1	25
4896	3090	1	1	25
4896	3092	1	1	25
4896	3093	1	1	25
4896	3094	1	1	25
4896	5121	1	1	25
4896	5122	1	1	25
4896	5123	1	1	25
4896	5124	1	1	25
4896	5125	1	1	25
4896	2157	1	1	15
4896	2159	1	1	15
4896	2160	1	1	15
4896	2161	1	1	15
4896	2163	1	1	15
4896	2164	1	1	15
4896	2166	1	1	15
4896	2167	1	1	15
4896	2275	1	1	15
4896	2276	1	1	15
4896	2278	1	1	15
4896	2279	1	1	15
4896	2280	1	1	15
4896	2281	1	1	15
4896	2282	1	1	15
4896	2284	1	1	15
4896	2285	1	1	15
4896	2286	1	1	15
4896	2287	1	1	15
4896	2288	1	1	15
4896	2290	1	1	15
4896	2291	1	1	15
4896	2292	1	1	15
4896	2293	1	1	15
4896	2294	1	1	15
4896	2296	1	1	15
4896	2297	1	1	15
4896	2298	1	1	15
4896	3081	1	1	15
4896	3080	1	1	15
4896	3082	1	1	15
4896	3083	1	1	15
4896	3084	1	1	15
4896	3096	1	1	15
4896	3095	1	1	15
4896	3097	1	1	15
4896	3098	1	1	15
4896	3099	1	1	15
4896	5126	1	1	15
4896	5127	1	1	15
4896	5128	1	1	15
4896	5129	1	1	15
4896	5130	1	1	15
4896	5506	1	1	15
4896	5507	1	1	15
4896	5508	1	1	15
4896	5509	1	1	15
4896	5510	1	1	15
4896	4134	1	1	5
4896	4135	1	1	5
4896	4136	1	1	5
4896	4137	1	1	5
4896	4138	1	1	5
4896	4139	1	1	5
4896	4140	1	1	5
4896	4141	1	1	5
4896	4142	1	1	5
4896	4143	1	1	5
4896	4144	1	1	5
4896	4145	1	1	5
4896	4146	1	1	5
4896	4147	1	1	5
4896	4148	1	1	5
4896	4149	1	1	5
4896	4150	1	1	5
4896	4151	1	1	5
4896	4152	1	1	5
4896	4153	1	1	5
4896	4154	1	1	5
4896	4155	1	1	5
4896	4156	1	1	5
4896	4157	1	1	5
4896	4158	1	1	5
4896	4159	1	1	5
4896	4160	1	1	5
4896	4161	1	1	5
4896	4163	1	1	5
4896	4162	1	1	5
4896	4164	1	1	5
4896	4165	1	1	5
4896	4166	1	1	5
4896	4371	1	1	5
4896	4370	1	1	5
4896	4372	1	1	5
4896	4373	1	1	5
4896	4374	1	1	5
4896	5259	1	1	5
4896	5260	1	1	5
4896	5261	1	1	5
4896	5262	1	1	5
4896	5263	1	1	5
4896	5606	1	1	5
4896	5607	1	1	5
4896	5608	1	1	5
4896	5609	1	1	5
4896	5610	1	1	5
4896	1933	1	1	70
4896	538	1	1	70
4896	1046	1	1	70
4896	1934	1	1	70
4896	1936	1	1	70
4896	1938	1	1	70
4896	3261	1	1	70
4896	3264	1	1	70
4896	3267	1	1	70
4896	3270	1	1	70
4896	5237	1	1	70
4896	4041	1	1	15
4896	4042	1	1	15
4896	4043	1	1	15
4896	4044	1	1	15
4896	4045	1	1	15
4896	4046	1	1	15
4896	4047	1	1	15
4896	4048	1	1	15
4896	4594	1	1	15
4896	4595	1	1	15
4896	537	1	1	15
4896	839	1	1	15
4896	1935	1	1	15
4896	1937	1	1	15
4896	1939	1	1	15
4896	3262	1	1	15
4896	3265	1	1	15
4896	3268	1	1	15
4896	3271	1	1	15
4896	5238	1	1	15
4896	545	1	1	50
4896	1940	1	1	50
4896	1942	1	1	50
4896	1944	1	1	50
4896	1946	1	1	50
4896	1948	1	1	50
4896	3273	1	1	50
4896	3276	1	1	50
4896	3279	1	1	50
4896	3282	1	1	50
4896	5240	1	1	50
4896	4049	1	1	15
4896	4050	1	1	15
4896	4051	1	1	15
