TID	이름	설명
936	Guttsera's Painting	The expensive painting by Gutsera,\nwhich is said to have been stolen by Windboar Imps
940	Baburon's Log	Literature written by Barbouron about the Archlord
960	Ancient Armor	An ancient armor of which the date is unknown
962	Rapidfire Shooter Elemental Stone	The stone has the whole power of the shooter\nIt has Air Elemental
966	Black Prayer Stone	Black prayer stone that shows evil power
967	Mysterious Prayer Stone	The material of this prayer stone is unknown\nIt is a part of the totem used by the ancient Sea People
968	Dead Orc Skull	Skulls of fellow soldiers gathered by Borggle rangers
970	Troll Club	This stick is used by the trolls\nVery popular among collectors,\nbut has no practical use
972	Bolpunch's Sword	Bolpunch's cherished sword
974	Broken Axe	Part of Borggle's weapons sacked\nIt is severely damaged
978	Crystal Orb	This orb is like a body part of the skeleton commander
500	Skull of Spite	Level 1 skull\nAcquired during PVP in the Battle Square\n10 skulls can be upgraded to a Skull of Hatred at the Refinery
981	Skull of Hatred	Level 2 Skull\nAcquired by refining the Skull of Spites\n10 skulls of spite can be upgraded to a Skull of Blood at the Refinery
982	Skull of Blood	Level 3 skull\nAcquired by refining the Skull of Hatred\n10 skulls can be upgraded to a Skull of Vengeance at the Refinery
983	Skull of Vengeance	Level 4 Skull\nAcquired by refining the Skull of Blood\n10 skulls can be upgraded to a Skull of Transcendence at the Refinery
984	Skull of Transcendence	Level 5 Skull\nAcquired by refining the Skull of Vengeance
985	Wolf's Fur	The hair pulled out from the lower part of the wolf's neck\nUsed in Cooking and Alchemy:\n\nEarthen Jerky\nWolf Potion
986	Dragon's Scale	The scale cut from the belly of the dragon\nUsed in Cooking and Alchemy:\n\nBroiled Meat of Life\nDragon Potion
987	Goblin's Head	Torn off goblin's head\nUsed in Alchemy:\n\nGoblin Potion
988	Troll's Eye	Troll's eye with nerves still attached\nUsed in Cooking and Alchemy:\n\nMind jerky\nTroll Potion
989	Thief's Head	Torn off thief's head
990	Lizardman's Tail	Large piece of lizardman's tail\nUsed in Cooking and Alchemy:\n\nBBQ of Sage\nLizardman Potion
991	Harpy's Feather	Mysterious feather pulled off the lower part of the arm\nUsed in Cooking:\n\nHealth Pie
992	Gargoyle's Horn	This horn is said to be the source of a gargoyle's power\nUsed in Alchemy and Cooking:\nBBQ of Nirvana\nGale Defense Stew\nMeditation Defense Stew\nGargoyle Potion
993	Griffin's Feather	This feather is said to be lighter than air\nUsed in Cooking and Alchemy:\n\nSoup of Fury\nGriffin Potion
994	Wolf Meat	Meat from wolf's bottom.\nUsed in Rejuvenation Roast\nEarthen Jerky\nStorm Jerky\nHealth Roast
995	Spider Leg	Leg of spider.\nUsed in Cooking:\n\nBroiled Meat of Vitality\nFire Jerky\nHealing Roast\nBBQ of Nirvana
996	Goblin Meat	Meat from goblin's.\nMain ingredient for\nRejuvenation Pie and Healing Pie
997	Lizardman Meat	Meat from lizardman's tail.\nUsed in Healing Pie\n Magic Jerky\nRiver Jerky\nHealth Pie
998	Skeleton's Bone	Leg bone of the skeleton\nUsed in Cooking and Alchemy:\n\nHealing Roast\nSkeleton Potion
999	Spider's Carapace	Ingredient for spider metamorphosis potion
1000	Worm's Skin	Ingredient for worm metamorphosis potion
1001	Dragon's Hide	Leather of Dragon type creatures\nIngredient for dragon metamorphosis potion
1002	Goblin's Skin	Frayed leather of Goblin\nUsed in Alchemy\n\nIngredient for goblin metamorphosis potion
1003	Troll's Hide	Ingredient for troll metamorphosis potion
1004	Lizardman's Skin	Ingredient for lizardman metamorphosis potion
1005	Griffin's Hide	Untanned Griffin leather with the feathers still on it\nIngredient for griffin metamorphosis potion
1016	Alchemy Cauldron	Black iron cauldron\nEnables to produce alchemy products\nwhen this item is in the inventory\n\nAlcemy\nNot attachable
1017	Centaur's Horn	This horn is said to contain secret knowledge\nUsed in Cooking:\n\nSyrupy Sweet Potato
1018	Centaur's Thigh	Thigh of Centaur's hind leg\nMain ingredient for Healing Roast
1019	Hydra's Eye	Eye of Hydra's center head\nUsed in Cooking:\n\nSeared Jerky
1020	Hydra Meat	Meat from a hydra's belly.\nUsed in Cooking:\n\nSoup of Attack\nBBQ of Nirvana\nRoast of Health
1021	Manticore's Tail	Poisonous tail\nUsed in Cooking and Alchemy:\n\nHealing Pie\nManticore Potion
1022	Manticore Meat	Meat from Manticore.\nUsed in Cooking:\n\nBBQ of Sage\nBroiled Meat of Trenscendence\nSyrupy Sweet Potato
1023	Manticore's Hide	An ominous Manticore leather\nIngredient for manticore metamorphosis potion
1024	Griffin Meat	Meat from griffin's wings.\nUsed in Cooking:\n\nSoup of Rage\nHealth Pie
1025	Dragon Meat	Meat from the dragon's heart\nUsed in Cooking:\n\nBroiled Meat of Life\nPlain Jerky
1026	Bear Meat	Meat from bear's neck.\nUsed in Cooking:\n\nHoney Sweet Potato\nBroiled Meat of Transcendence
1027	Viper Meat	Meat from viper's tail.\nUsed in\nBBQ of Acclimatization
1028	Gargoyle Meat	Meat from gargoyle's shoulder.\nUsed in\nBrain Jerky
1029	Dragon Potion	A volatile potion that when consumed will\ntransform the imbiber into a Dragon\n\nIncreases Physical Damage by 42\nIncreases Physical Defense by 15\n\nDuration: 4 mins
1030	Wolf Potion	Wolf metamorphosis for 4 mins\nPhysical Damage +36\nMovement speed +58%
1031	Thief Potion	Thief metamorphosis for 4 mins\nPhysical Damage +77
1032	Lizardman Potion	Lizardman metamorphosis for 4 mins\nPhysical Damage +48\nHP +188
1033	Troll Potion	Troll metamorphosis for 4 mins\nPhysical Damage +66\nHP +276
1034	Manticore Potion	Manticore metamorphosis for 4 mins\nPhysical Damage +54\nMovement speed +66%
1035	Gargoyle Potion	Gargoyle metamorphosis for 4 mins\nPhysical Damage +78\nHP +312
1036	Griffin Potion	Griffin metamorphosis for 4 mins\nPhysical Damage +84\nMovement speed +66%
1037	Dragon Metamorphosis Recipe	Enhances success rate of dragon metamorphosis potion compounding
1038	Wolf Metamorphosis Recipe	Enhances success rate of wolf metamorphosis potion compounding
1039	Thief Metamorphosis Recipe	Enhances success rate of thief metamorphosis potion compounding
1040	Lizardman Metamorphosis Recipe	Enhances success rate of lizardman metamorphosis potion compounding
1041	Troll Metamorphosis Recipe	Enhances success rate of troll metamorphosis potion compounding
1042	Manticore Metamorphosis Recipe	Enhances success rate of manticore metamorphosis potion compounding
1043	Gargoyle Metamorphosis Recipe	Enhances success rate of gargoyle metamorphosis potion compounding
1044	Griffin Metamorphosis Recipe	Enhances success rate of griffin metamorphosis potion compounding
1048	Small Quickness Potion	Movement speed +10%\nCooldown 6 mins, duration 5 mins\nCan not be stacked with buff of same ability level\n(Applied only to upper level)
1049	Medium Quickness Potion	Movement speed +15%\nCooldown 6 mins, duration 5 mins\nCan not be stacked with buff of same ability level\n(Applied only to upper level)
1050	Large Quickness Potion	Movement speed +20%\nCooldown 6 mins, duration 5 mins\nCan not be stacked with buff of same ability level\n(Applied only to upper level)
1051	Small Light Speed Potion	Attack speed +5%\nCooldown time 6 mins, duration 5 mins\nCan not be stacked with similar abilities\n(Applied only to upper level)
1052	Medium Light Speed Potion	Attack speed +10%\nCooldown 6 mins, duration 5 mins\nCan not be stacked with buff of same ability level\n(Applied only to upper level)
1053	Large Light Speed Potion	Attack speed +15%\nCooldown 6 mins, duration 5 mins\nCan not be stacked with buff of same ability level\n(Applied only to upper level)
1054	Reverse Orb	When used, the character resurrects at the same location without penalty\nCooldown 30 mins\nAvailable in the menu when the character dies\n(Unavailable during combat)
1091	Gorgon Potion	Gorgon metamorphosis for 4 mins\nPhysical Damage +84\nHP +348
1092	Ghoul Potion	Ghoul metamorphosis for 4 mins\nPhysical Damage +60\nPhysical Defense +24
1093	Vampire Potion	Vampire metamorphosis for 4 mins\nPhysical Damage +48\nPhysical Defense +18
1094	Lamia Potion	Lamia metamorphosis for 4 mins\nPhysical Damage +56
1095	Marylith Potion	Marylith metamorphosis for 4 mins\nPhysical Damage +49
1096	Gorgon Metamorphosis Recipe	Enhances success rate of gorgon metamorphosis potion compounding
1097	Ghoul Metamorphosis Recipe	Enhances success rate of ghoul metamorphosis potion compounding
1098	Vampire Metamorphosis Recipe	Enhances success rate of vampire metamorphosis potion compounding
1099	Lamia Metamorphosis Recipe	Enhances success rate of Lamia metamorphosis potion compounding
1100	Marylith Metamorphosis Recipe	Enhances success rate of Marylith metamorphosis potion compounding
1101	Gorgon's Skin	Ingredient for gorgon metamorphosis potion
1102	Ghoul's Skin	Ingredient for ghoul metamorphosis potion
1103	Bat's Tooth	Bat's tooth stained with blood\nUsed in Cooking and Alchemy:\n\nSoup of Attack\nBat Potion
1104	Lamia's Venom	Deadly poison that melts down to the bone\nUsed in Cooking and Alchemy:\n\nHoney Sweet Potato\nLamia Potion
1105	Marylith's Scale	Scale from Marylith tail\nUsed in Cooking and Alchemy:\n\nMagic Jerky\nMarilith Potion
1106	Torge's Leaf	Leaf containing breath of life\nUsed in Cooking:\n\nStorm Jerky
1107	Vampire's Blood	It is said that just looking at the Cold Blood freezes the observer\nUsed in Cooking and Alchemy:\n\nSoup of Raid\nVampire Potion
1108	Beholder's Eye	This eyeball is even bigger than a human head\nUsed in Cooking:\n\nHealing Roast
