기본강화단계	무기능력치 상승	방어구능력치 상승	Rank	Spirit1	Spirit2	Spirit3	Spirit4	Spirit5																			
7 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
8 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 	0 	0 											
9 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 	0 											
10 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 											
11 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 											
12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 											
13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 											
14 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 											
15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 											
16 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 											
																											
정령석단계	무기강화수치	무기확률	갑옷강화수치(%)	갑옷확률																							
1	3	100	3	100																							
2	4	70	4	70																							
3	5	40	5	40																							
4	6	30	6	30																							
5	7	20	7	20																							
																											
정령석같은속성추가시	무기 보너스	갑옷 보너스(%)																									
	3	3																									
																											
기원석 추가장착 판별	무기 확률	방어구 확률	기타확률																								
1	100	100	100																								
2	90	90	90																								
3	80	80	75																								
4	70	60	60																								
5	60	40	50																								
6	50	30	0																								
7	40	0	0																								
8	30	0	0																								
																											
기원석 추가 단계	그대로남음(무기)	소켓 초기화(무기)	초기화(무기)	아이템파괴(무기)	그대로남음(갑옷)	소켓 초기화(갑옷)	초기화(갑옷)	아이템파괴(갑옷)	그대로남음(기타)	고리 초기화(기타)	초기화(기타)	아이템파괴(기타)															
1	100	0	0	0	100	0	0	0	55	45	0	0															
2	95	5	0	0	95	5	0	0	50	50	0	0															
3	90	10	0	0	90	10	0	0	45	55	0	0															
4	80	20	0	0	80	20	0	0	40	45	0	5															
5	70	30	0	0	70	15	0	15	35	55	0	10															
6	60	40	0	0	60	20	0	20	0	0	0	0															
7	20	40	0	40	20	40	0	40	0	0	0	0															
8	10	40	0	50	10	40	0	50	0	0	0	0															
